[2022-09-13 21:28:14.536] [info] queryID 0, result_size 53, rtk_topk 1024, single_query_time 24.54s
[2022-09-13 21:28:19.468] [info] queryID 1, result_size 52, rtk_topk 1024, single_query_time 4.93s
[2022-09-13 21:28:23.771] [info] queryID 2, result_size 70, rtk_topk 1024, single_query_time 4.30s
[2022-09-13 21:28:26.271] [info] queryID 3, result_size 53, rtk_topk 16, single_query_time 2.50s
[2022-09-13 21:28:29.601] [info] queryID 4, result_size 10, rtk_topk 64, single_query_time 3.33s
[2022-09-13 21:28:31.930] [info] queryID 5, result_size 18, rtk_topk 64, single_query_time 2.33s
[2022-09-13 21:28:35.117] [info] queryID 6, result_size 12, rtk_topk 512, single_query_time 3.19s
[2022-09-13 21:28:38.871] [info] queryID 7, result_size 40, rtk_topk 1024, single_query_time 3.75s
[2022-09-13 21:28:45.561] [info] queryID 8, result_size 62, rtk_topk 1024, single_query_time 6.69s
[2022-09-13 21:28:48.511] [info] queryID 9, result_size 20, rtk_topk 256, single_query_time 2.95s
[2022-09-13 21:28:54.041] [info] queryID 10, result_size 88, rtk_topk 512, single_query_time 5.53s
[2022-09-13 21:48:53.062] [info] queryID 11, result_size 71, rtk_topk 4096, single_query_time 1199.02s
[2022-09-13 22:27:02.781] [info] queryID 12, result_size 171, rtk_topk 8192, single_query_time 2289.72s
[2022-09-13 22:27:07.412] [info] queryID 13, result_size 74, rtk_topk 256, single_query_time 4.63s
[2022-09-13 22:34:50.010] [info] queryID 14, result_size 123, rtk_topk 2048, single_query_time 462.60s
[2022-09-13 22:35:04.955] [info] queryID 15, result_size 188, rtk_topk 1024, single_query_time 14.94s
[2022-09-13 22:35:06.562] [info] queryID 16, result_size 23, rtk_topk 8, single_query_time 1.61s
[2022-09-13 22:55:05.213] [info] queryID 17, result_size 19, rtk_topk 4096, single_query_time 1198.65s
[2022-09-13 23:33:15.067] [info] queryID 18, result_size 106, rtk_topk 8192, single_query_time 2289.85s
[2022-09-13 23:33:26.986] [info] queryID 19, result_size 80, rtk_topk 1024, single_query_time 11.92s
[2022-09-13 23:41:07.479] [info] queryID 20, result_size 56, rtk_topk 2048, single_query_time 460.49s
[2022-09-13 23:41:11.408] [info] queryID 21, result_size 20, rtk_topk 1024, single_query_time 3.93s
[2022-09-13 23:41:17.530] [info] queryID 22, result_size 209, rtk_topk 512, single_query_time 6.12s
[2022-09-13 23:41:20.641] [info] queryID 23, result_size 16, rtk_topk 128, single_query_time 3.11s
[2022-09-13 23:41:25.504] [info] queryID 24, result_size 48, rtk_topk 512, single_query_time 4.86s
[2022-09-13 23:49:07.375] [info] queryID 25, result_size 187, rtk_topk 2048, single_query_time 461.87s
[2022-09-13 23:49:09.634] [info] queryID 26, result_size 29, rtk_topk 256, single_query_time 2.26s
[2022-09-13 23:49:12.837] [info] queryID 27, result_size 367, rtk_topk 32, single_query_time 3.20s
[2022-09-13 23:49:28.237] [info] queryID 28, result_size 372, rtk_topk 512, single_query_time 15.40s
[2022-09-13 23:49:29.194] [info] queryID 29, result_size 10, rtk_topk 64, single_query_time 0.96s
[2022-09-13 23:49:33.788] [info] queryID 30, result_size 85, rtk_topk 256, single_query_time 4.59s
