nohup: ignoring input
[2022-12-21 16:24:56.875] [info] Simpfer dataset_name amazon-home-kitchen, dataset_dir /home/zhengbian/Dataset/ReverseMIPS
[2022-12-21 16:24:56.875] [info] index_dir /home/zhengbian/reverse-k-ranks/index
[2022-12-21 16:25:03.751] [info] n_data_item 409243, n_query_item 1000, n_user 2511610, vec_dim 150
[2022-12-21 16:25:03.751] [info] input parameter: simpfer_k_max 213, stop_time 43200s
[2022-12-21 16:30:44.839] [info] finish preprocess and save the index
[2022-12-21 16:31:15.174] [info] queryID 0, result_size 0, rtk_topk 1, accu_ip_cost 336, accu_query_time 30.33s,
[2022-12-21 16:31:15.224] [info] queryID 0, result_size 0, rtk_topk 2, accu_ip_cost 1260, accu_query_time 30.38s,
[2022-12-21 16:31:15.275] [info] queryID 0, result_size 0, rtk_topk 4, accu_ip_cost 2226, accu_query_time 30.44s,
[2022-12-21 16:31:15.329] [info] queryID 0, result_size 0, rtk_topk 8, accu_ip_cost 5208, accu_query_time 30.49s,
[2022-12-21 16:31:15.386] [info] queryID 0, result_size 0, rtk_topk 16, accu_ip_cost 9660, accu_query_time 30.55s,
[2022-12-21 16:31:15.452] [info] queryID 0, result_size 0, rtk_topk 32, accu_ip_cost 20496, accu_query_time 30.61s,
[2022-12-21 16:31:15.542] [info] queryID 0, result_size 0, rtk_topk 64, accu_ip_cost 47544, accu_query_time 30.70s,
[2022-12-21 16:31:15.727] [info] queryID 0, result_size 0, rtk_topk 128, accu_ip_cost 160440, accu_query_time 30.89s,
[2022-12-21 16:45:45.707] [info] queryID 0, result_size 0, rtk_topk 256, accu_ip_cost 1022225270, accu_query_time 900.87s,
[2022-12-21 17:08:43.011] [info] queryID 0, result_size 0, rtk_topk 512, accu_ip_cost 1665197430, accu_query_time 2278.17s,
[2022-12-21 17:46:00.225] [info] queryID 0, result_size 0, rtk_topk 1024, accu_ip_cost 2951141750, accu_query_time 4515.39s,
[2022-12-21 18:47:17.089] [info] queryID 0, result_size 0, rtk_topk 2048, accu_ip_cost 5523030390, accu_query_time 8192.25s,
[2022-12-21 20:35:45.731] [info] queryID 0, result_size 0, rtk_topk 4096, accu_ip_cost 10666807670, accu_query_time 14700.89s,
[2022-12-22 00:24:42.062] [info] queryID 0, result_size 0, rtk_topk 8192, accu_ip_cost 20954362230, accu_query_time 28437.22s,
[2022-12-22 08:57:22.751] [info] queryID 0, result_size 0, rtk_topk 16384, accu_ip_cost 41529471350, accu_query_time 59197.91s,
