nohup: ignoring input
[2022-12-06 20:57:31.981] [info] SimpferFEXIPROOnly dataset_name yelp, dataset_dir /home/zhengbian/Dataset/ReverseMIPS
[2022-12-06 20:57:31.981] [info] index_dir /home/zhengbian/reverse-k-ranks/index
[2022-12-06 20:57:37.677] [info] n_data_item 159585, n_query_item 1000, n_user 2189457, vec_dim 150
[2022-12-06 20:57:37.677] [info] input parameter: simpfer_k_max 61, stop_time 70000s
[2022-12-06 20:59:07.929] [info] finish preprocess and save the index
[2022-12-06 20:59:07.929] [info] queryID 0, result_size 0, rtk_topk 1, accu_ip_cost 0, accu_query_time 0.00s,
[2022-12-06 20:59:07.929] [info] queryID 0, result_size 0, rtk_topk 2, accu_ip_cost 0, accu_query_time 0.00s,
[2022-12-06 20:59:07.929] [info] queryID 0, result_size 0, rtk_topk 4, accu_ip_cost 0, accu_query_time 0.00s,
[2022-12-06 20:59:07.929] [info] queryID 0, result_size 0, rtk_topk 8, accu_ip_cost 0, accu_query_time 0.00s,
[2022-12-06 20:59:07.929] [info] queryID 0, result_size 0, rtk_topk 16, accu_ip_cost 0, accu_query_time 0.00s,
[2022-12-06 20:59:07.929] [info] queryID 0, result_size 0, rtk_topk 32, accu_ip_cost 0, accu_query_time 0.00s,
[2022-12-06 21:14:33.245] [info] queryID 0, result_size 10, rtk_topk 64, accu_ip_cost 470733255, accu_query_time 925.32s,
[2022-12-06 21:33:22.083] [info] queryID 0, result_size 14, rtk_topk 128, accu_ip_cost 610858503, accu_query_time 2054.15s,
[2022-12-06 21:56:09.098] [info] queryID 0, result_size 34, rtk_topk 256, accu_ip_cost 891108999, accu_query_time 3421.17s,
[2022-12-06 22:23:15.135] [info] queryID 0, result_size 98, rtk_topk 512, accu_ip_cost 1451609991, accu_query_time 5047.21s,
[2022-12-06 22:23:15.135] [info] queryID 0, result_size 98, rtk_topk 512, ip_cost 1451609991, query_time 5047.21s, total_ip_cost 1451609991, total_retrieval_time 5047.21s
[2022-12-06 22:23:15.135] [info] queryID 1, result_size 0, rtk_topk 1, accu_ip_cost 0, accu_query_time 0.00s,
[2022-12-06 22:23:15.135] [info] queryID 1, result_size 0, rtk_topk 2, accu_ip_cost 0, accu_query_time 0.00s,
[2022-12-06 22:23:15.135] [info] queryID 1, result_size 0, rtk_topk 4, accu_ip_cost 0, accu_query_time 0.00s,
[2022-12-06 22:23:15.135] [info] queryID 1, result_size 0, rtk_topk 8, accu_ip_cost 0, accu_query_time 0.00s,
[2022-12-06 22:23:15.135] [info] queryID 1, result_size 0, rtk_topk 16, accu_ip_cost 0, accu_query_time 0.00s,
