nohup: ignoring input
[2022-12-02 10:37:26.163] [info] Simpfer dataset_name yelp, dataset_dir /home/zhengbian/Dataset/ReverseMIPS
[2022-12-02 10:37:26.163] [info] index_dir /home/zhengbian/reverse-k-ranks/index
[2022-12-02 10:37:35.329] [info] n_data_item 159585, n_query_item 1000, n_user 2189457, vec_dim 150
[2022-12-02 10:37:35.329] [info] input parameter: simpfer_k_max 613, stop_time 70000s
[2022-12-02 10:52:39.554] [info] finish preprocess and save the index
[2022-12-02 10:54:54.989] [info] queryID 0, result_size 0, rtk_topk 1, accu_ip_cost 2114319, accu_query_time 135.43s,
[2022-12-02 10:54:58.929] [info] queryID 0, result_size 0, rtk_topk 2, accu_ip_cost 2135487, accu_query_time 139.37s,
[2022-12-02 10:55:02.184] [info] queryID 0, result_size 0, rtk_topk 4, accu_ip_cost 2148449, accu_query_time 142.63s,
[2022-12-02 10:55:05.348] [info] queryID 0, result_size 2, rtk_topk 8, accu_ip_cost 2383959, accu_query_time 145.79s,
[2022-12-02 10:55:08.604] [info] queryID 0, result_size 4, rtk_topk 16, accu_ip_cost 2637290, accu_query_time 149.05s,
[2022-12-02 10:55:12.068] [info] queryID 0, result_size 6, rtk_topk 32, accu_ip_cost 2958323, accu_query_time 152.51s,
[2022-12-02 10:55:15.742] [info] queryID 0, result_size 10, rtk_topk 64, accu_ip_cost 3563094, accu_query_time 156.19s,
[2022-12-02 10:55:20.027] [info] queryID 0, result_size 14, rtk_topk 128, accu_ip_cost 5092244, accu_query_time 160.47s,
[2022-12-02 10:55:28.788] [info] queryID 0, result_size 34, rtk_topk 256, accu_ip_cost 16729162, accu_query_time 169.23s,
[2022-12-02 10:56:29.544] [info] queryID 0, result_size 98, rtk_topk 512, accu_ip_cost 159164905, accu_query_time 229.99s,
[2022-12-02 11:31:00.464] [info] queryID 0, result_size 350, rtk_topk 1024, accu_ip_cost 2572611975, accu_query_time 2300.91s,
[2022-12-02 11:31:00.464] [info] queryID 0, result_size 350, rtk_topk 1024, ip_cost 2572611975, query_time 2300.91s, total_ip_cost 2572611975, total_retrieval_time 2300.91s
[2022-12-02 11:31:09.471] [info] queryID 1, result_size 1, rtk_topk 1, accu_ip_cost 2237655, accu_query_time 9.01s,
[2022-12-02 11:31:12.589] [info] queryID 1, result_size 1, rtk_topk 2, accu_ip_cost 2248239, accu_query_time 12.13s,
[2022-12-02 11:31:15.713] [info] queryID 1, result_size 2, rtk_topk 4, accu_ip_cost 2402060, accu_query_time 15.25s,
[2022-12-02 11:31:18.848] [info] queryID 1, result_size 2, rtk_topk 8, accu_ip_cost 2418100, accu_query_time 18.38s,
[2022-12-02 11:31:22.100] [info] queryID 1, result_size 3, rtk_topk 16, accu_ip_cost 2570640, accu_query_time 21.64s,
[2022-12-02 11:31:25.780] [info] queryID 1, result_size 7, rtk_topk 32, accu_ip_cost 3240521, accu_query_time 25.32s,
[2022-12-02 11:31:30.846] [info] queryID 1, result_size 20, rtk_topk 64, accu_ip_cost 5731699, accu_query_time 30.38s,
[2022-12-02 11:31:39.365] [info] queryID 1, result_size 47, rtk_topk 128, accu_ip_cost 12386908, accu_query_time 38.90s,
[2022-12-02 11:32:01.960] [info] queryID 1, result_size 145, rtk_topk 256, accu_ip_cost 42161603, accu_query_time 61.50s,
[2022-12-02 11:33:22.869] [info] queryID 1, result_size 360, rtk_topk 512, accu_ip_cost 177283780, accu_query_time 142.40s,
[2022-12-02 11:33:22.869] [info] queryID 1, result_size 360, rtk_topk 512, ip_cost 177283780, query_time 142.40s, total_ip_cost 2749895755, total_retrieval_time 2443.31s
