queryID,n_user_candidate,io_cost,ip_cost,total_time,memory_index_time,io_time,ip_time
         0,       322,     36346,         0,      0.51,      0.05,      0.46,      0.00
         1,       336,     32357,         0,      0.54,      0.05,      0.49,      0.00
         2,       301,     39284,         0,      0.48,      0.05,      0.43,      0.00
         3,       302,     35582,         0,      0.48,      0.05,      0.43,      0.00
         4,       334,     15320,         0,      0.53,      0.05,      0.48,      0.00
         5,       341,     88392,         0,      0.54,      0.05,      0.49,      0.00
         6,       362,     48373,         0,      0.57,      0.05,      0.52,      0.00
         7,       395,    121457,         0,      0.62,      0.05,      0.57,      0.00
         8,       347,     36095,         0,      0.54,      0.05,      0.50,      0.00
         9,       348,     23065,         0,      0.55,      0.05,      0.50,      0.00
        10,       438,     19135,         0,      0.68,      0.05,      0.63,      0.00
        11,       325,     21283,         0,      0.52,      0.05,      0.47,      0.00
        12,       301,     37578,         0,      0.48,      0.05,      0.43,      0.00
        13,       306,     51898,         0,      0.49,      0.05,      0.44,      0.00
        14,       306,     68502,         0,      0.49,      0.05,      0.44,      0.00
        15,       368,     20378,         0,      0.58,      0.05,      0.53,      0.00
        16,       335,     17750,         0,      0.54,      0.05,      0.49,      0.00
        17,       532,     66768,         0,      0.81,      0.05,      0.76,      0.00
        18,       441,     90673,         0,      0.68,      0.05,      0.63,      0.00
        19,       310,     20086,         0,      0.49,      0.05,      0.44,      0.00
        20,       358,     16972,         0,      0.56,      0.05,      0.51,      0.00
        21,       319,     20576,         0,      0.50,      0.05,      0.45,      0.00
        22,       300,     74993,         0,      0.48,      0.05,      0.43,      0.00
        23,       406,     43632,         0,      0.62,      0.05,      0.58,      0.00
        24,       336,     51238,         0,      0.53,      0.05,      0.48,      0.00
        25,       638,     33506,         0,      0.96,      0.05,      0.92,      0.00
        26,       343,     47291,         0,      0.54,      0.05,      0.50,      0.00
        27,       300,     46099,         0,      0.48,      0.05,      0.43,      0.00
        28,       303,     34967,         0,      0.48,      0.05,      0.43,      0.00
        29,       342,     44939,         0,      0.54,      0.05,      0.49,      0.00
        30,       327,     44592,         0,      0.52,      0.05,      0.47,      0.00
        31,       387,     20551,         0,      0.60,      0.05,      0.55,      0.00
        32,       410,     21559,         0,      0.63,      0.05,      0.58,      0.00
        33,       469,     57841,         0,      0.72,      0.05,      0.67,      0.00
        34,       326,    122364,         0,      0.51,      0.05,      0.47,      0.00
        35,       391,    119441,         0,      0.60,      0.05,      0.55,      0.00
        36,       459,     28845,         0,      0.71,      0.05,      0.66,      0.00
        37,       309,     18691,         0,      0.49,      0.05,      0.44,      0.00
        38,       554,    208628,         0,      0.84,      0.05,      0.79,      0.00
        39,      2233,    344902,         0,      3.23,      0.05,      3.18,      0.00
        40,       309,    103014,         0,      0.49,      0.04,      0.44,      0.00
        41,       322,    120111,         0,      0.50,      0.05,      0.46,      0.00
        42,       323,     31405,         0,      0.50,      0.05,      0.45,      0.00
        43,       302,     15630,         0,      0.48,      0.05,      0.43,      0.00
        44,       572,     70352,         0,      0.87,      0.05,      0.82,      0.00
        45,       342,     18317,         0,      0.54,      0.05,      0.49,      0.00
        46,       382,     76396,         0,      0.60,      0.05,      0.55,      0.00
        47,       429,     28072,         0,      0.66,      0.05,      0.61,      0.00
        48,       516,     73640,         0,      0.78,      0.05,      0.74,      0.00
        49,       348,    114206,         0,      0.54,      0.05,      0.50,      0.00
        50,       445,     17065,         0,      0.69,      0.05,      0.64,      0.00
        51,       315,     31124,         0,      0.50,      0.05,      0.45,      0.00
        52,       357,     70019,         0,      0.56,      0.05,      0.51,      0.00
        53,       328,    115893,         0,      0.51,      0.04,      0.47,      0.00
        54,       320,     34066,         0,      0.50,      0.05,      0.45,      0.00
        55,       493,    123424,         0,      0.75,      0.05,      0.70,      0.00
        56,       320,     43684,         0,      0.50,      0.05,      0.45,      0.00
        57,       473,    139940,         0,      0.72,      0.05,      0.67,      0.00
        58,       327,     70072,         0,      0.51,      0.05,      0.47,      0.00
        59,       317,     38335,         0,      0.50,      0.05,      0.46,      0.00
        60,       308,    144772,         0,      0.49,      0.05,      0.44,      0.00
        61,       312,    133485,         0,      0.49,      0.04,      0.44,      0.00
        62,       302,     33963,         0,      0.48,      0.05,      0.43,      0.00
        63,       523,     61237,         0,      0.77,      0.05,      0.72,      0.00
        64,       325,     38773,         0,      0.51,      0.05,      0.46,      0.00
        65,       360,     44068,         0,      0.56,      0.05,      0.51,      0.00
        66,       306,     30535,         0,      0.48,      0.05,      0.44,      0.00
        67,       332,     46019,         0,      0.52,      0.05,      0.47,      0.00
        68,       390,     37720,         0,      0.61,      0.05,      0.56,      0.00
        69,       389,     71018,         0,      0.61,      0.05,      0.56,      0.00
        70,       305,     73811,         0,      0.49,      0.05,      0.44,      0.00
        71,       499,     27111,         0,      0.76,      0.05,      0.71,      0.00
        72,       316,     15794,         0,      0.50,      0.05,      0.45,      0.00
        73,       322,     38943,         0,      0.51,      0.05,      0.46,      0.00
        74,       320,     35313,         0,      0.51,      0.05,      0.46,      0.00
        75,       437,    131294,         0,      0.68,      0.05,      0.63,      0.00
        76,       462,    138348,         0,      0.71,      0.05,      0.66,      0.00
        77,       371,     44434,         0,      0.58,      0.05,      0.53,      0.00
        78,       338,     49863,         0,      0.54,      0.05,      0.49,      0.00
        79,       417,    138601,         0,      0.65,      0.05,      0.60,      0.00
        80,       305,     36319,         0,      0.48,      0.05,      0.44,      0.00
        81,       402,     96126,         0,      0.62,      0.05,      0.57,      0.00
        82,       338,     41520,         0,      0.54,      0.05,      0.49,      0.00
        83,       310,     58878,         0,      0.49,      0.05,      0.45,      0.00
        84,       376,     44357,         0,      0.59,      0.05,      0.54,      0.00
        85,       355,     52571,         0,      0.56,      0.05,      0.51,      0.00
        86,       320,     39721,         0,      0.51,      0.05,      0.46,      0.00
        87,       351,     42538,         0,      0.55,      0.05,      0.51,      0.00
        88,       359,     24933,         0,      0.56,      0.05,      0.51,      0.00
        89,       410,     59219,         0,      0.62,      0.05,      0.57,      0.00
        90,       610,     55269,         0,      0.92,      0.05,      0.87,      0.00
        91,       324,     84632,         0,      0.51,      0.05,      0.46,      0.00
        92,       389,    148392,         0,      0.61,      0.05,      0.56,      0.00
        93,       306,     26002,         0,      0.48,      0.05,      0.43,      0.00
        94,       416,     40719,         0,      0.64,      0.05,      0.59,      0.00
        95,       348,    132267,         0,      0.54,      0.05,      0.49,      0.00
        96,       301,     15660,         0,      0.47,      0.05,      0.43,      0.00
        97,       300,     67589,         0,      0.47,      0.05,      0.43,      0.00
        98,       359,     26326,         0,      0.56,      0.05,      0.51,      0.00
        99,       303,     16131,         0,      0.48,      0.05,      0.43,      0.00
       100,       438,     11167,         0,      0.67,      0.05,      0.62,      0.00
       101,       351,     42760,         0,      0.55,      0.05,      0.50,      0.00
       102,       322,     17231,         0,      0.51,      0.05,      0.46,      0.00
       103,       337,    103246,         0,      0.53,      0.05,      0.48,      0.00
       104,       309,     22917,         0,      0.49,      0.05,      0.44,      0.00
       105,       310,     59314,         0,      0.49,      0.05,      0.45,      0.00
       106,       373,    139486,         0,      0.58,      0.05,      0.54,      0.00
       107,       343,     71758,         0,      0.54,      0.05,      0.49,      0.00
       108,       316,     69164,         0,      0.50,      0.05,      0.45,      0.00
       109,       386,     20415,         0,      0.60,      0.05,      0.56,      0.00
       110,       346,     93546,         0,      0.54,      0.05,      0.49,      0.00
       111,       629,     33921,         0,      0.94,      0.05,      0.90,      0.00
       112,       529,     79952,         0,      0.80,      0.05,      0.75,      0.00
       113,       344,     51021,         0,      0.53,      0.05,      0.49,      0.00
       114,       329,     17287,         0,      0.51,      0.05,      0.46,      0.00
       115,       307,     92765,         0,      0.49,      0.05,      0.44,      0.00
       116,       396,     27633,         0,      0.61,      0.05,      0.56,      0.00
       117,       313,     16762,         0,      0.49,      0.05,      0.44,      0.00
       118,       327,     53532,         0,      0.51,      0.05,      0.46,      0.00
       119,       344,     41942,         0,      0.53,      0.05,      0.49,      0.00
       120,       330,     98760,         0,      0.52,      0.05,      0.47,      0.00
       121,       356,      8906,         0,      0.56,      0.05,      0.51,      0.00
       122,       507,     10605,         0,      0.77,      0.05,      0.72,      0.00
       123,       512,     10510,         0,      0.77,      0.05,      0.72,      0.00
       124,       328,     39501,         0,      0.51,      0.05,      0.46,      0.00
       125,       424,     32086,         0,      0.65,      0.05,      0.60,      0.00
       126,       357,     45579,         0,      0.55,      0.05,      0.51,      0.00
       127,       333,     21175,         0,      0.52,      0.05,      0.47,      0.00
       128,       317,     20008,         0,      0.49,      0.05,      0.45,      0.00
       129,       340,     18075,         0,      0.53,      0.05,      0.48,      0.00
       130,       321,     47697,         0,      0.50,      0.05,      0.45,      0.00
       131,       336,     30612,         0,      0.52,      0.05,      0.47,      0.00
       132,       303,     31586,         0,      0.47,      0.05,      0.43,      0.00
       133,       314,     30929,         0,      0.49,      0.05,      0.45,      0.00
       134,       300,     90437,         0,      0.47,      0.05,      0.42,      0.00
       135,       302,     15340,         0,      0.48,      0.05,      0.43,      0.00
       136,       350,     68597,         0,      0.54,      0.05,      0.50,      0.00
       137,       328,     67592,         0,      0.51,      0.05,      0.46,      0.00
       138,       336,     26550,         0,      0.52,      0.05,      0.47,      0.00
       139,       391,     16496,         0,      0.60,      0.05,      0.55,      0.00
       140,       324,     18363,         0,      0.50,      0.05,      0.46,      0.00
       141,       303,     40945,         0,      0.48,      0.05,      0.43,      0.00
       142,       393,     47701,         0,      0.61,      0.05,      0.56,      0.00
       143,       304,     35441,         0,      0.48,      0.05,      0.43,      0.00
       144,       326,     48480,         0,      0.50,      0.05,      0.45,      0.00
       145,       321,     43575,         0,      0.49,      0.05,      0.44,      0.00
       146,       377,     18872,         0,      0.58,      0.05,      0.53,      0.00
       147,       350,     39184,         0,      0.55,      0.05,      0.50,      0.00
       148,       330,     76931,         0,      0.52,      0.05,      0.47,      0.00
       149,       308,     38739,         0,      0.49,      0.05,      0.44,      0.00
       150,       338,    134838,         0,      0.53,      0.05,      0.48,      0.00
       151,       404,     57361,         0,      0.62,      0.05,      0.58,      0.00
       152,       301,     39627,         0,      0.47,      0.05,      0.43,      0.00
       153,       301,    163413,         0,      0.48,      0.05,      0.43,      0.00
       154,       385,     44079,         0,      0.59,      0.05,      0.55,      0.00
       155,       324,     49586,         0,      0.51,      0.05,      0.46,      0.00
       156,       336,     21047,         0,      0.52,      0.05,      0.48,      0.00
       157,       309,     50653,         0,      0.49,      0.05,      0.44,      0.00
       158,       338,     20275,         0,      0.53,      0.05,      0.49,      0.00
       159,       323,     17331,         0,      0.51,      0.05,      0.46,      0.00
       160,       304,     15336,         0,      0.48,      0.05,      0.43,      0.00
