queryID,n_user_candidate,io_cost,ip_cost,total_time,memory_index_time,io_time,ip_time
         0,       426,    218538,         0,      0.66,      0.05,      0.61,      0.00
         1,       626,    321131,         0,      0.99,      0.05,      0.94,      0.00
         2,       899,    461187,         0,      1.47,      0.05,      1.42,      0.00
         3,       627,    321650,         0,      1.09,      0.05,      1.04,      0.00
         4,      1167,    598382,         0,      1.71,      0.05,      1.66,      0.00
         5,       642,    329346,         0,      1.15,      0.05,      1.10,      0.00
         6,       644,    330372,         0,      1.11,      0.05,      1.06,      0.00
         7,       455,    233415,         0,      0.82,      0.05,      0.78,      0.00
         8,       664,    340632,         0,      1.03,      0.05,      0.98,      0.00
         9,       836,    428865,         0,      1.22,      0.05,      1.16,      0.00
        10,       910,    465920,         0,      1.34,      0.05,      1.29,      0.00
        11,      3003,   1540539,         0,      5.17,      0.05,      5.12,      0.00
        12,       975,    500175,         0,      1.59,      0.05,      1.54,      0.00
        13,       443,    227259,         0,      0.68,      0.05,      0.63,      0.00
        14,       460,    235980,         0,      0.73,      0.05,      0.69,      0.00
        15,      7675,   3937064,         0,     11.12,      0.05,     11.07,      0.00
        16,       772,    395954,         0,      1.15,      0.05,      1.10,      0.00
        17,       976,    500688,         0,      1.74,      0.05,      1.70,      0.00
        18,       737,    378081,         0,      1.22,      0.05,      1.17,      0.00
        19,       674,    345741,         0,      1.03,      0.05,      0.98,      0.00
        20,      1074,    549888,         0,      1.56,      0.05,      1.51,      0.00
        21,      3633,   1863728,         0,      6.12,      0.05,      6.07,      0.00
        22,       431,    221103,         0,      0.67,      0.05,      0.62,      0.00
        23,      1092,    560196,         0,      1.76,      0.05,      1.70,      0.00
        24,       633,    324729,         0,      1.20,      0.05,      1.15,      0.00
        25,      2667,   1368171,         0,      4.06,      0.05,      4.01,      0.00
        26,       522,    267786,         0,      0.85,      0.05,      0.79,      0.00
        27,       468,    240084,         0,      0.76,      0.05,      0.71,      0.00
        28,       424,    217512,         0,      0.66,      0.05,      0.61,      0.00
        29,       778,    399114,         0,      1.26,      0.05,      1.21,      0.00
        30,       407,    208791,         0,      0.65,      0.05,      0.60,      0.00
        31,      2576,   1321316,         0,      3.68,      0.05,      3.63,      0.00
        32,      1063,    544256,         0,      1.55,      0.05,      1.50,      0.00
        33,      3390,   1739070,         0,      5.60,      0.05,      5.55,      0.00
        34,       422,    216486,         0,      0.75,      0.05,      0.70,      0.00
        35,       484,    248292,         0,      0.92,      0.05,      0.87,      0.00
        36,       506,    259578,         0,      0.77,      0.05,      0.72,      0.00
        37,       912,    467840,         0,      1.38,      0.05,      1.33,      0.00
        38,       893,    458109,         0,      1.64,      0.05,      1.59,      0.00
        39,      1348,    691524,         0,      2.73,      0.05,      2.69,      0.00
        40,       454,    232902,         0,      0.77,      0.05,      0.72,      0.00
        41,       501,    257013,         0,      0.83,      0.05,      0.78,      0.00
        42,       458,    234954,         0,      0.72,      0.05,      0.67,      0.00
        43,      1862,    954978,         0,      2.77,      0.05,      2.72,      0.00
        44,      2650,   1359450,         0,      4.56,      0.05,      4.50,      0.00
        45,      5149,   2641418,         0,      7.60,      0.05,      7.55,      0.00
        46,       495,    253935,         0,      0.84,      0.05,      0.79,      0.00
        47,      2785,   1428705,         0,      4.27,      0.05,      4.22,      0.00
        48,       424,    217512,         0,      0.75,      0.05,      0.71,      0.00
        49,       444,    227772,         0,      0.71,      0.05,      0.66,      0.00
        50,      4573,   2341376,         0,      6.52,      0.05,      6.47,      0.00
        51,       500,    256500,         0,      0.77,      0.05,      0.72,      0.00
        52,       455,    233415,         0,      0.71,      0.05,      0.66,      0.00
        53,       440,    225720,         0,      0.75,      0.05,      0.70,      0.00
        54,       427,    219048,         0,      0.65,      0.05,      0.60,      0.00
        55,      2654,   1361502,         0,      4.79,      0.05,      4.74,      0.00
        56,       639,    327807,         0,      1.12,      0.05,      1.07,      0.00
        57,       538,    275994,         0,      1.00,      0.05,      0.95,      0.00
        58,       450,    230850,         0,      0.70,      0.05,      0.65,      0.00
        59,       492,    252385,         0,      0.76,      0.05,      0.71,      0.00
        60,       401,    205713,         0,      0.64,      0.05,      0.59,      0.00
        61,       432,    221616,         0,      0.73,      0.05,      0.68,      0.00
        62,       465,    238539,         0,      0.73,      0.05,      0.68,      0.00
        63,      1769,    907497,         0,      2.77,      0.05,      2.71,      0.00
        64,       502,    257526,         0,      0.80,      0.05,      0.75,      0.00
        65,       554,    284202,         0,      0.85,      0.05,      0.80,      0.00
        66,       817,    419121,         0,      1.24,      0.05,      1.19,      0.00
        67,       538,    275994,         0,      0.84,      0.05,      0.79,      0.00
        68,      1035,    530955,         0,      1.56,      0.05,      1.51,      0.00
        69,       583,    299079,         0,      0.98,      0.05,      0.93,      0.00
        70,       463,    237519,         0,      0.74,      0.05,      0.69,      0.00
        71,      3628,   1861163,         0,      5.35,      0.05,      5.30,      0.00
        72,      1394,    715122,         0,      2.06,      0.05,      2.01,      0.00
        73,       591,    303183,         0,      1.13,      0.05,      1.09,      0.00
        74,       412,    211356,         0,      0.65,      0.05,      0.61,      0.00
        75,       615,    315495,         0,      1.03,      0.05,      0.98,      0.00
        76,       416,    213408,         0,      0.78,      0.05,      0.74,      0.00
        77,       446,    228798,         0,      0.72,      0.05,      0.66,      0.00
        78,       515,    264195,         0,      0.90,      0.05,      0.85,      0.00
        79,       792,    406296,         0,      1.41,      0.05,      1.36,      0.00
        80,       462,    237003,         0,      0.71,      0.05,      0.66,      0.00
        81,       425,    218025,         0,      0.68,      0.05,      0.62,      0.00
        82,      2691,   1380483,         0,      4.92,      0.05,      4.87,      0.00
        83,       573,    293949,         0,      1.00,      0.05,      0.95,      0.00
        84,       720,    369360,         0,      1.20,      0.05,      1.15,      0.00
        85,       525,    269325,         0,      0.84,      0.05,      0.79,      0.00
        86,       478,    245214,         0,      0.74,      0.05,      0.69,      0.00
        87,       438,    224694,         0,      0.68,      0.05,      0.63,      0.00
        88,       561,    287790,         0,      0.86,      0.05,      0.81,      0.00
        89,       852,    437076,         0,      1.43,      0.05,      1.38,      0.00
        90,       915,    469395,         0,      1.40,      0.05,      1.35,      0.00
        91,       670,    343710,         0,      1.12,      0.05,      1.07,      0.00
        92,       447,    229311,         0,      0.86,      0.05,      0.82,      0.00
        93,       579,    297017,         0,      0.87,      0.05,      0.82,      0.00
        94,      1350,    692550,         0,      2.18,      0.05,      2.14,      0.00
        95,       843,    432459,         0,      1.71,      0.05,      1.66,      0.00
        96,       533,    273377,         0,      0.81,      0.05,      0.76,      0.00
        97,       452,    231876,         0,      0.71,      0.05,      0.66,      0.00
        98,       734,    376542,         0,      1.32,      0.05,      1.28,      0.00
        99,      1646,    844393,         0,      2.65,      0.05,      2.60,      0.00
       100,      3053,   1563136,         0,      4.41,      0.05,      4.35,      0.00
       101,       431,    221103,         0,      0.69,      0.05,      0.64,      0.00
       102,      1296,    664845,         0,      1.92,      0.05,      1.87,      0.00
       103,       430,    220590,         0,      0.78,      0.05,      0.73,      0.00
       104,      1924,    987012,         0,      2.94,      0.05,      2.89,      0.00
       105,       410,    210330,         0,      0.65,      0.05,      0.60,      0.00
       106,       510,    261630,         0,      0.84,      0.05,      0.79,      0.00
       107,       474,    243162,         0,      0.74,      0.05,      0.69,      0.00
       108,       443,    227259,         0,      0.70,      0.05,      0.65,      0.00
       109,       634,    325229,         0,      0.98,      0.05,      0.93,      0.00
       110,       412,    211356,         0,      0.68,      0.05,      0.63,      0.00
       111,      8645,   4434843,         0,     12.71,      0.05,     12.66,      0.00
       112,      2183,   1119879,         0,      3.78,      0.05,      3.73,      0.00
       113,      1138,    583794,         0,      1.92,      0.05,      1.87,      0.00
       114,       631,    323678,         0,      0.95,      0.05,      0.90,      0.00
       115,       403,    206739,         0,      0.65,      0.05,      0.60,      0.00
       116,      1254,    643302,         0,      1.94,      0.05,      1.89,      0.00
       117,       759,    389254,         0,      1.12,      0.05,      1.07,      0.00
       118,       559,    286767,         0,      0.86,      0.05,      0.81,      0.00
       119,       544,    279072,         0,      0.81,      0.05,      0.76,      0.00
       120,       447,    229311,         0,      0.75,      0.05,      0.70,      0.00
       121,      3166,   1620992,         0,      4.52,      0.05,      4.46,      0.00
       122,      8882,   4547584,         0,     12.58,      0.05,     12.52,      0.00
       123,     15220,   7792640,         0,     21.48,      0.05,     21.42,      0.00
       124,       646,    331397,         0,      1.29,      0.05,      1.24,      0.00
       125,      3141,   1611333,         0,      5.23,      0.05,      5.18,      0.00
       126,      1011,    518643,         0,      1.68,      0.05,      1.63,      0.00
       127,       620,    318041,         0,      0.94,      0.05,      0.89,      0.00
       128,       470,    241079,         0,      0.72,      0.05,      0.67,      0.00
       129,      1705,    874510,         0,      2.45,      0.05,      2.40,      0.00
       130,       515,    264194,         0,      0.84,      0.05,      0.79,      0.00
       131,       539,    276483,         0,      0.89,      0.05,      0.84,      0.00
       132,       444,    227766,         0,      0.68,      0.05,      0.64,      0.00
       133,       501,    257013,         0,      0.76,      0.05,      0.71,      0.00
       134,       511,    262143,         0,      0.80,      0.05,      0.75,      0.00
       135,       901,    462073,         0,      1.32,      0.05,      1.27,      0.00
       136,       415,    212895,         0,      0.71,      0.05,      0.66,      0.00
       137,       458,    234954,         0,      0.77,      0.05,      0.72,      0.00
       138,       449,    230315,         0,      0.68,      0.05,      0.64,      0.00
       139,       775,    396800,         0,      1.15,      0.05,      1.10,      0.00
       140,      1910,    979825,         0,      2.79,      0.05,      2.73,      0.00
       141,       737,    378081,         0,      1.18,      0.05,      1.13,      0.00
       142,       849,    435537,         0,      1.26,      0.05,      1.21,      0.00
       143,       563,    288819,         0,      0.86,      0.05,      0.81,      0.00
       144,       484,    248292,         0,      0.75,      0.05,      0.70,      0.00
       145,      1294,    663822,         0,      2.04,      0.05,      1.99,      0.00
       146,      1580,    810238,         0,      2.32,      0.05,      2.27,      0.00
       147,       601,    308310,         0,      0.96,      0.05,      0.91,      0.00
       148,       733,    376029,         0,      1.36,      0.05,      1.31,      0.00
       149,       480,    246240,         0,      0.76,      0.05,      0.71,      0.00
       150,       457,    234441,         0,      0.82,      0.05,      0.77,      0.00
       151,      1164,    597132,         0,      1.91,      0.05,      1.86,      0.00
       152,       625,    320625,         0,      0.97,      0.05,      0.92,      0.00
       153,       476,    244188,         0,      0.81,      0.05,      0.76,      0.00
       154,       555,    284715,         0,      0.86,      0.05,      0.81,      0.00
       155,       478,    245213,         0,      0.79,      0.05,      0.74,      0.00
       156,      1838,    942892,         0,      2.90,      0.05,      2.85,      0.00
       157,       433,    222129,         0,      0.70,      0.05,      0.65,      0.00
       158,      1450,    743830,         0,      2.16,      0.05,      2.11,      0.00
       159,       791,    405704,         0,      1.18,      0.05,      1.12,      0.00
       160,      1356,    695429,         0,      2.00,      0.05,      1.95,      0.00
       161,       407,    208791,         0,      0.72,      0.05,      0.67,      0.00
       162,       407,    208791,         0,      0.66,      0.05,      0.61,      0.00
       163,       544,    279072,         0,      0.89,      0.05,      0.84,      0.00
       164,       476,    244188,         0,      0.83,      0.05,      0.78,      0.00
       165,       765,    392445,         0,      1.20,      0.05,      1.15,      0.00
       166,       659,    338067,         0,      1.18,      0.05,      1.13,      0.00
       167,       539,    276507,         0,      0.87,      0.05,      0.82,      0.00
       168,       459,    235463,         0,      0.71,      0.05,      0.66,      0.00
       169,       773,    396549,         0,      1.19,      0.05,      1.13,      0.00
       170,       462,    237006,         0,      0.77,      0.05,      0.72,      0.00
       171,       450,    230850,         0,      0.83,      0.05,      0.78,      0.00
       172,       530,    271890,         0,      0.86,      0.05,      0.81,      0.00
       173,      1589,    813568,         0,      2.31,      0.05,      2.26,      0.00
       174,     19769,  10121728,         0,     28.24,      0.05,     28.19,      0.00
       175,      2408,   1235103,         0,      3.79,      0.05,      3.74,      0.00
       176,       418,    214417,         0,      0.66,      0.05,      0.61,      0.00
       177,       528,    270336,         0,      0.80,      0.05,      0.75,      0.00
       178,       496,    254445,         0,      0.76,      0.05,      0.71,      0.00
       179,       704,    361082,         0,      1.10,      0.05,      1.05,      0.00
       180,       617,    316521,         0,      1.00,      0.05,      0.95,      0.00
       181,       435,    223140,         0,      0.67,      0.05,      0.62,      0.00
       182,       494,    253420,         0,      0.76,      0.05,      0.72,      0.00
       183,       491,    251883,         0,      0.84,      0.05,      0.79,      0.00
       184,       777,    398601,         0,      1.19,      0.05,      1.14,      0.00
       185,       654,    335462,         0,      0.98,      0.05,      0.93,      0.00
       186,       504,    258551,         0,      0.84,      0.05,      0.79,      0.00
       187,       505,    258560,         0,      0.77,      0.05,      0.72,      0.00
       188,       502,    257526,         0,      0.82,      0.05,      0.77,      0.00
       189,       437,    224181,         0,      0.68,      0.05,      0.63,      0.00
       190,      2598,   1332774,         0,      4.07,      0.05,      4.02,      0.00
       191,       541,    277532,         0,      0.85,      0.05,      0.80,      0.00
