queryID,n_user_candidate,io_cost,ip_cost,total_time,memory_index_time,io_time,ip_time
         0,        10,       676,         0,      0.06,      0.05,      0.01,      0.00
         1,        11,       551,         0,      0.06,      0.05,      0.02,      0.00
         2,        15,      1148,         0,      0.07,      0.05,      0.02,      0.00
         3,        10,       514,         0,      0.06,      0.05,      0.01,      0.00
         4,        10,       214,         0,      0.06,      0.05,      0.01,      0.00
         5,        10,      1295,         0,      0.06,      0.05,      0.01,      0.00
         6,        10,       723,         0,      0.06,      0.05,      0.01,      0.00
         7,        11,      1510,         0,      0.06,      0.05,      0.02,      0.00
         8,        11,       587,         0,      0.06,      0.05,      0.02,      0.00
         9,        16,       898,         0,      0.07,      0.05,      0.02,      0.00
        10,        15,       328,         0,      0.07,      0.05,      0.02,      0.00
        11,        10,       538,         0,      0.06,      0.05,      0.01,      0.00
        12,        18,      2052,         0,      0.07,      0.05,      0.03,      0.00
        13,        13,       999,         0,      0.06,      0.05,      0.02,      0.00
        14,        14,      1644,         0,      0.07,      0.05,      0.02,      0.00
        15,        28,      1483,         0,      0.09,      0.05,      0.04,      0.00
        16,        10,       385,         0,      0.06,      0.05,      0.01,      0.00
        17,        17,      2078,         0,      0.07,      0.05,      0.02,      0.00
        18,        13,      1718,         0,      0.07,      0.05,      0.02,      0.00
        19,        13,       606,         0,      0.07,      0.05,      0.02,      0.00
        20,        34,      1157,         0,      0.10,      0.05,      0.05,      0.00
        21,        12,       638,         0,      0.07,      0.05,      0.02,      0.00
        22,        11,       806,         0,      0.06,      0.04,      0.02,      0.00
        23,        14,       909,         0,      0.07,      0.05,      0.02,      0.00
        24,        14,      1648,         0,      0.07,      0.05,      0.02,      0.00
        25,        31,      1648,         0,      0.09,      0.05,      0.04,      0.00
        26,        14,      1209,         0,      0.07,      0.05,      0.02,      0.00
        27,        10,       730,         0,      0.06,      0.05,      0.01,      0.00
        28,        14,      1122,         0,      0.07,      0.05,      0.02,      0.00
        29,        10,       679,         0,      0.06,      0.05,      0.01,      0.00
        30,        10,       695,         0,      0.06,      0.05,      0.01,      0.00
        31,        15,       500,         0,      0.07,      0.05,      0.02,      0.00
        32,        19,       642,         0,      0.08,      0.05,      0.03,      0.00
        33,        10,       755,         0,      0.06,      0.05,      0.01,      0.00
        34,        13,      3463,         0,      0.06,      0.04,      0.02,      0.00
        35,        14,      3035,         0,      0.07,      0.05,      0.02,      0.00
        36,        24,      1297,         0,      0.08,      0.05,      0.03,      0.00
        37,        10,       519,         0,      0.06,      0.05,      0.01,      0.00
        38,        26,      9194,         0,      0.08,      0.05,      0.04,      0.00
        39,       134,     17458,         0,      0.24,      0.05,      0.19,      0.00
        40,        10,      1106,         0,      0.06,      0.04,      0.01,      0.00
        41,        16,      4835,         0,      0.07,      0.05,      0.02,      0.00
        42,        14,       716,         0,      0.07,      0.05,      0.02,      0.00
        43,        18,       627,         0,      0.07,      0.05,      0.03,      0.00
        44,        15,      1193,         0,      0.07,      0.05,      0.02,      0.00
        45,        11,       442,         0,      0.07,      0.05,      0.02,      0.00
