queryID,n_prune_user,n_result_user,n_refine_user,ip_cost,io_cost,total_time,memory_index_time,io_time
         0,    283170,        43,        15,     11080,      1024,      0.14,      0.04,      0.10
         1,    283178,        50,         0,      1799,         0,      0.04,      0.04,      0.00
         2,    283178,        50,         0,       435,         0,      0.04,      0.03,      0.00
         3,    283178,        50,         0,      5029,         0,      0.04,      0.03,      0.00
         4,    283177,        49,         2,      1481,       128,      0.05,      0.03,      0.01
         5,    283178,        50,         0,       338,         0,      0.04,      0.03,      0.00
         6,    283178,        50,         0,      1583,         0,      0.04,      0.03,      0.00
         7,    283178,        50,         0,      1081,         0,      0.04,      0.04,      0.00
         8,    283178,        50,         0,     16484,         0,      0.05,      0.04,      0.00
         9,    283178,        50,         0,     82031,         0,      0.10,      0.09,      0.00
        10,    283178,        50,         0,      8182,         0,      0.04,      0.04,      0.00
        11,    283177,        47,         4,       443,       448,      0.06,      0.03,      0.03
        12,    283177,        48,         3,     11886,       256,      0.08,      0.04,      0.03
        13,    283178,        50,         0,      1783,         0,      0.04,      0.04,      0.00
        14,    283178,        50,         0,     39417,         0,      0.07,      0.06,      0.00
        15,    283178,        50,         0,     16064,         0,      0.05,      0.04,      0.00
        16,    283178,        50,         0,    143068,         0,      0.15,      0.13,      0.00
        17,    283177,        49,         2,      6124,       128,      0.05,      0.04,      0.01
        18,    283178,        50,         0,       525,         0,      0.04,      0.04,      0.00
        19,    283178,        50,         0,      1968,         0,      0.04,      0.04,      0.00
        20,    283178,        50,         0,      1834,         0,      0.04,      0.04,      0.00
        21,    283178,        50,         0,       290,         0,      0.03,      0.03,      0.00
        22,    283178,        50,         0,       626,         0,      0.03,      0.03,      0.00
        23,    283178,        50,         0,     25248,         0,      0.05,      0.05,      0.00
        24,    283178,        50,         0,     36633,         0,      0.06,      0.05,      0.00
        25,    283177,        49,         2,       403,       128,      0.05,      0.03,      0.02
        26,    283177,        49,         2,     65279,       128,      0.10,      0.07,      0.01
        27,    283178,        50,         0,      1257,         0,      0.04,      0.03,      0.00
        28,    283178,        50,         0,      3596,         0,      0.04,      0.04,      0.00
        29,    283176,        47,         5,      2104,       384,      0.07,      0.04,      0.03
        30,    283175,        48,         5,     65928,       320,      0.11,      0.07,      0.03
        31,    283178,        50,         0,      1739,         0,      0.04,      0.03,      0.00
        32,    283177,        49,         2,       509,       128,      0.05,      0.03,      0.01
        33,    283178,        50,         0,     86771,         0,      0.11,      0.09,      0.00
        34,    283178,        50,         0,     26346,         0,      0.06,      0.05,      0.00
        35,    283178,        50,         0,     11178,         0,      0.04,      0.04,      0.00
        36,    283178,        50,         0,     89157,         0,      0.11,      0.09,      0.00
        37,    283178,        50,         0,       240,         0,      0.03,      0.03,      0.00
        38,    283177,        49,         2,       788,       192,      0.05,      0.03,      0.01
        39,    283178,        50,         0,       180,         0,      0.04,      0.03,      0.00
        40,    283178,        50,         0,      2679,         0,      0.04,      0.03,      0.00
        41,    283177,        49,         2,      1006,       128,      0.05,      0.04,      0.01
        42,    283178,        50,         0,       985,         0,      0.04,      0.03,      0.00
        43,    283178,        50,         0,       148,         0,      0.03,      0.03,      0.00
        44,    283178,        50,         0,       154,         0,      0.03,      0.03,      0.00
        45,    283178,        50,         0,      3842,         0,      0.04,      0.04,      0.00
        46,    283178,        50,         0,      9031,         0,      0.04,      0.04,      0.00
        47,    283178,        50,         0,       740,         0,      0.04,      0.03,      0.00
        48,    283178,        50,         0,     13490,         0,      0.05,      0.04,      0.00
        49,    283178,        50,         0,       234,         0,      0.04,      0.03,      0.00
