queryID,n_prune_user,n_result_user,n_refine_user,io_cost,ip_cost,total_time,memory_index_time,io_time,ip_time
         0,    283009,       118,       101,     55808,         0,      0.75,      0.09,      0.66,      0.00
         1,    282981,       180,        67,     40960,         0,      0.52,      0.09,      0.43,      0.00
         2,    282994,       185,        49,     34816,         0,      0.40,      0.07,      0.32,      0.00
         3,    282930,       189,       109,     64512,         0,      0.76,      0.07,      0.69,      0.00
         4,    282952,       192,        84,     50176,         0,      0.62,      0.07,      0.55,      0.00
         5,    283007,       188,        33,     20992,         0,      0.29,      0.07,      0.22,      0.00
         6,    282992,       179,        57,     30720,         0,      0.52,      0.07,      0.45,      0.00
         7,    283023,       160,        45,     26624,         0,      0.37,      0.07,      0.30,      0.00
         8,    282879,       178,       171,    102912,         0,      1.31,      0.07,      1.23,      0.00
         9,    282948,       132,       148,     98816,         0,      0.99,      0.07,      0.92,      0.00
        10,    282949,       169,       110,     58880,         0,      0.81,      0.07,      0.73,      0.00
        11,    283001,       194,        33,     34304,         0,      0.26,      0.07,      0.20,      0.00
        12,    282925,       164,       139,     78336,         0,      0.96,      0.07,      0.89,      0.00
        13,    283024,       152,        52,     36864,         0,      0.39,      0.07,      0.32,      0.00
        14,    282871,       168,       189,    115712,         0,      1.28,      0.07,      1.21,      0.00
        15,    282988,       182,        58,     35840,         0,      0.42,      0.07,      0.35,      0.00
        16,    282690,       167,       371,    236032,         0,      2.28,      0.07,      2.21,      0.00
        17,    283015,       146,        67,     39936,         0,      0.52,      0.07,      0.44,      0.00
        18,    282992,       185,        51,     40960,         0,      0.41,      0.07,      0.33,      0.00
        19,    283014,       142,        72,     43008,         0,      0.50,      0.07,      0.42,      0.00
        20,    283025,       149,        54,     32256,         0,      0.42,      0.07,      0.35,      0.00
        21,    283008,       195,        25,     19968,         0,      0.27,      0.07,      0.20,      0.00
        22,    283021,       169,        38,     22528,         0,      0.32,      0.07,      0.25,      0.00
        23,    282994,       122,       112,     66560,         0,      0.87,      0.07,      0.80,      0.00
        24,    283017,       114,        97,     56320,         0,      0.72,      0.07,      0.64,      0.00
        25,    282984,       186,        58,     35840,         0,      0.44,      0.07,      0.37,      0.00
        26,    282984,       128,       116,    105472,         0,      0.91,      0.07,      0.84,      0.00
        27,    282985,       186,        57,     38912,         0,      0.48,      0.07,      0.40,      0.00
        28,    282957,       186,        85,     47616,         0,      0.62,      0.07,      0.55,      0.00
        29,    283003,       158,        67,     51200,         0,      0.47,      0.07,      0.40,      0.00
        30,    283027,        10,       191,    107008,         0,      1.35,      0.08,      1.28,      0.00
        31,    282975,       193,        60,     33792,         0,      0.53,      0.07,      0.45,      0.00
        32,    283010,       189,        29,     19456,         0,      0.27,      0.07,      0.20,      0.00
        33,    282494,       192,       542,    361984,         0,      3.53,      0.07,      3.45,      0.00
        34,    282978,       149,       101,     54784,         0,      0.76,      0.08,      0.68,      0.00
        35,    283023,       128,        77,     45568,         0,      0.60,      0.07,      0.53,      0.00
        36,    282862,       180,       186,    169472,         0,      1.30,      0.07,      1.23,      0.00
        37,    282997,       190,        41,     40448,         0,      0.35,      0.08,      0.27,      0.00
        38,    282954,       182,        92,    169472,         0,      0.75,      0.06,      0.69,      0.00
        39,    282999,       196,        33,     29184,         0,      0.25,      0.06,      0.19,      0.00
        40,    282988,       163,        77,     47104,         0,      0.55,      0.06,      0.48,      0.00
        41,    282964,       193,        71,     43520,         0,      0.55,      0.07,      0.48,      0.00
        42,    283028,       150,        50,     31744,         0,      0.40,      0.07,      0.33,      0.00
        43,    283012,       186,        30,     25088,         0,      0.25,      0.07,      0.18,      0.00
        44,    283027,       190,        11,      5632,         0,      0.13,      0.07,      0.07,      0.00
        45,    282965,       195,        68,     44544,         0,      0.51,      0.06,      0.45,      0.00
        46,    283028,       117,        83,     55808,         0,      0.61,      0.07,      0.54,      0.00
        47,    282962,       184,        82,     50688,         0,      0.64,      0.07,      0.57,      0.00
        48,    283011,       161,        56,     37888,         0,      0.46,      0.07,      0.40,      0.00
        49,    283020,       185,        23,     18432,         0,      0.21,      0.07,      0.14,      0.00
        50,    282958,       159,       111,     64512,         0,      0.81,      0.07,      0.74,      0.00
        51,    283011,       184,        33,     19968,         0,      0.26,      0.06,      0.21,      0.00
        52,    282966,       124,       138,     82432,         0,      0.98,      0.06,      0.92,      0.00
        53,    283021,       171,        36,     26112,         0,      0.33,      0.07,      0.26,      0.00
        54,    283001,       198,        29,     20992,         0,      0.26,      0.07,      0.20,      0.00
        55,    282970,       150,       108,     58368,         0,      0.85,      0.07,      0.78,      0.00
        56,    283007,       195,        26,     22016,         0,      0.22,      0.07,      0.16,      0.00
        57,    282978,       174,        76,     61440,         0,      0.56,      0.07,      0.49,      0.00
        58,    283007,       167,        54,     39936,         0,      0.39,      0.07,      0.33,      0.00
        59,    283014,       194,        20,     13312,         0,      0.21,      0.07,      0.14,      0.00
        60,    282989,       152,        87,     56832,         0,      0.67,      0.07,      0.61,      0.00
        61,    282985,       143,       100,     88064,         0,      0.70,      0.07,      0.63,      0.00
        62,    282979,       162,        87,     48640,         0,      0.65,      0.07,      0.58,      0.00
        63,    282964,       194,        70,    100352,         0,      0.56,      0.06,      0.50,      0.00
        64,    282968,       118,       142,     78336,         0,      1.10,      0.07,      1.02,      0.00
        65,    283018,       170,        40,     33280,         0,      0.34,      0.07,      0.28,      0.00
        66,    282936,       105,       187,    113152,         0,      1.41,      0.07,      1.34,      0.00
        67,    283007,       161,        60,     41984,         0,      0.43,      0.07,      0.36,      0.00
        68,    282965,       186,        77,     48128,         0,      0.56,      0.07,      0.50,      0.00
        69,    283024,        88,       116,     70656,         0,      0.79,      0.07,      0.72,      0.00
        70,    282997,       195,        36,     24064,         0,      0.31,      0.07,      0.25,      0.00
        71,    283022,       143,        63,     35328,         0,      0.51,      0.07,      0.44,      0.00
        72,    283002,       175,        51,     30720,         0,      0.38,      0.07,      0.31,      0.00
        73,    282986,       194,        48,     28160,         0,      0.40,      0.07,      0.33,      0.00
        74,    283008,       190,        30,     17408,         0,      0.30,      0.07,      0.23,      0.00
        75,    283003,       189,        36,     23040,         0,      0.34,      0.07,      0.27,      0.00
        76,    282982,       199,        47,     28672,         0,      0.34,      0.07,      0.27,      0.00
        77,    283011,       174,        43,     30208,         0,      0.39,      0.07,      0.33,      0.00
        78,    282990,       139,        99,     73216,         0,      0.68,      0.07,      0.61,      0.00
