queryID,n_user_candidate,io_cost,ip_cost,total_time,memory_index_time,io_time,ip_time
         0,        11,      5643,         0,      0.07,      0.05,      0.02,      0.00
         1,        63,     32312,         0,      0.15,      0.05,      0.09,      0.00
         2,        40,     20520,         0,      0.11,      0.05,      0.06,      0.00
         3,        23,     11798,         0,      0.08,      0.05,      0.03,      0.00
         4,       289,    147968,         0,      0.47,      0.05,      0.42,      0.00
         5,        34,     17442,         0,      0.10,      0.05,      0.05,      0.00
         6,        20,     10260,         0,      0.08,      0.05,      0.03,      0.00
         7,        15,      7695,         0,      0.07,      0.05,      0.02,      0.00
         8,        35,     17955,         0,      0.10,      0.05,      0.05,      0.00
         9,       198,    101571,         0,      0.33,      0.05,      0.28,      0.00
        10,       910,    465920,         0,      1.34,      0.05,      1.29,      0.00
        11,       368,    188784,         0,      0.57,      0.05,      0.52,      0.00
        12,        10,      5130,         0,      0.06,      0.05,      0.01,      0.00
        13,        19,      9747,         0,      0.08,      0.05,      0.03,      0.00
        14,        20,     10260,         0,      0.08,      0.05,      0.03,      0.00
        15,       211,    108032,         0,      0.35,      0.05,      0.30,      0.00
        16,        82,     41984,         0,      0.17,      0.05,      0.12,      0.00
        17,        41,     21033,         0,      0.11,      0.05,      0.06,      0.00
        18,        19,      9747,         0,      0.08,      0.05,      0.03,      0.00
        19,        21,     10752,         0,      0.08,      0.05,      0.03,      0.00
        20,      1074,    549888,         0,      1.57,      0.05,      1.52,      0.00
        21,       364,    186731,         0,      0.56,      0.05,      0.51,      0.00
        22,        11,      5643,         0,      0.06,      0.05,      0.02,      0.00
        23,        18,      9234,         0,      0.07,      0.05,      0.03,      0.00
        24,        27,     13851,         0,      0.09,      0.05,      0.04,      0.00
        25,      2667,   1368171,         0,      3.77,      0.05,      3.73,      0.00
        26,        18,      9234,         0,      0.08,      0.05,      0.03,      0.00
        27,        18,      9234,         0,      0.07,      0.05,      0.03,      0.00
        28,        61,     31293,         0,      0.14,      0.05,      0.09,      0.00
        29,        21,     10773,         0,      0.08,      0.05,      0.03,      0.00
        30,        22,     11286,         0,      0.08,      0.05,      0.03,      0.00
        31,       172,     88064,         0,      0.29,      0.05,      0.24,      0.00
        32,      1063,    544256,         0,      1.56,      0.05,      1.51,      0.00
        33,        90,     46170,         0,      0.18,      0.05,      0.13,      0.00
        34,        13,      6669,         0,      0.07,      0.05,      0.02,      0.00
        35,        29,     14877,         0,      0.09,      0.05,      0.04,      0.00
        36,       506,    259578,         0,      0.76,      0.05,      0.71,      0.00
        37,        16,      8192,         0,      0.07,      0.05,      0.02,      0.00
        38,        16,      8208,         0,      0.07,      0.05,      0.02,      0.00
        39,      1348,    691524,         0,      1.94,      0.05,      1.89,      0.00
        40,        10,      5130,         0,      0.06,      0.05,      0.01,      0.00
        41,        15,      7695,         0,      0.07,      0.05,      0.02,      0.00
        42,        36,     18468,         0,      0.10,      0.05,      0.05,      0.00
        43,       228,    116736,         0,      0.37,      0.05,      0.32,      0.00
        44,       136,     69768,         0,      0.24,      0.05,      0.19,      0.00
        45,        19,      9728,         0,      0.08,      0.05,      0.03,      0.00
        46,        39,     20007,         0,      0.11,      0.05,      0.06,      0.00
        47,       333,    170829,         0,      0.53,      0.05,      0.47,      0.00
        48,       424,    217512,         0,      0.65,      0.05,      0.60,      0.00
        49,        13,      6669,         0,      0.07,      0.05,      0.02,      0.00
        50,      4573,   2341376,         0,      6.51,      0.05,      6.46,      0.00
        51,        20,     10260,         0,      0.08,      0.05,      0.03,      0.00
        52,        20,     10260,         0,      0.08,      0.05,      0.03,      0.00
