queryID,n_prune_user,n_result_user,n_refine_user,ip_cost,io_cost,total_time,memory_index_time,io_time
         0,    283140,        49,        39,    283228,      3072,      0.34,      0.11,      0.23
         1,    283178,        50,         0,    283228,         0,      0.13,      0.13,      0.00
         2,    283177,        49,         2,    283228,       128,      0.16,      0.12,      0.05
         3,    283176,        46,         6,    283228,       448,      0.15,      0.11,      0.03
         4,    283177,        43,         8,    283228,       576,      0.18,      0.13,      0.05
         5,    283178,        50,         0,    283228,         0,      0.12,      0.12,      0.00
         6,    283174,        42,        12,    283228,       960,      0.21,      0.12,      0.09
         7,    283175,        47,         6,    283228,       448,      0.16,      0.12,      0.04
         8,    283159,        45,        24,    283228,      1792,      0.29,      0.11,      0.17
         9,    283176,        44,         8,    283228,       640,      0.16,      0.11,      0.05
        10,    283175,        43,        10,    283228,       704,      0.18,      0.11,      0.07
        11,    283178,        50,         0,    283228,         0,      0.12,      0.11,      0.00
        12,    283169,        47,        12,    283228,      1088,      0.18,      0.11,      0.07
        13,    283175,        48,         5,    283228,       512,      0.15,      0.12,      0.03
        14,    283175,        49,         4,    283228,       320,      0.13,      0.11,      0.02
        15,    283174,        49,         5,    283228,       320,      0.16,      0.12,      0.04
        16,    283171,        49,         8,    283228,       512,      0.17,      0.11,      0.06
        17,    283174,        49,         5,    283228,       320,      0.16,      0.12,      0.04
        18,    283177,        49,         2,    283228,       128,      0.14,      0.12,      0.02
        19,    283177,        46,         5,    283228,       448,      0.15,      0.12,      0.03
        20,    283175,        47,         6,    283228,       448,      0.17,      0.12,      0.04
        21,    283178,        50,         0,    283228,         0,      0.12,      0.12,      0.00
        22,    283178,        50,         0,    283228,         0,      0.12,      0.11,      0.00
        23,    283176,        47,         5,    283228,       320,      0.14,      0.10,      0.04
        24,    283178,        50,         0,    283228,         0,      0.11,      0.10,      0.00
        25,    283175,        49,         4,    283228,       320,      0.14,      0.11,      0.03
        26,    283178,        50,         0,    283228,         0,      0.11,      0.11,      0.00
        27,    283178,        50,         0,    283228,         0,      0.11,      0.11,      0.00
        28,    283178,        50,         0,    283228,         0,      0.12,      0.11,      0.00
        29,    283175,        47,         6,    283228,       512,      0.15,      0.11,      0.03
        30,    283125,        40,        63,    283228,      4672,      0.50,      0.11,      0.38
        31,    283176,        46,         6,    283228,       576,      0.16,      0.12,      0.04
        32,    283177,        48,         3,    283228,       256,      0.14,      0.12,      0.02
        33,    283175,        48,         5,    283228,       384,      0.15,      0.11,      0.03
        34,    283175,        42,        11,    283228,       896,      0.20,      0.12,      0.08
        35,    283172,        48,         8,    283228,       640,      0.20,      0.11,      0.08
