queryID,n_prune_user,n_result_user,n_refine_user,io_cost,ip_cost,total_time,memory_index_time,io_time,ip_time
         0,    277442,         0,      5786,   5894144,         0,     32.37,      0.06,     32.29,      0.00
         1,    282623,       247,       358,    365568,         0,      2.44,      0.07,      2.37,      0.00
         2,    282563,       531,       134,    137216,         0,      1.02,      0.07,      0.95,      0.00
         3,    282022,       239,       967,    986624,         0,      6.34,      0.07,      6.26,      0.00
         4,    282068,       153,      1007,   1026560,         0,      6.37,      0.07,      6.30,      0.00
         5,    282562,       486,       180,    183296,         0,      1.28,      0.07,      1.21,      0.00
         6,    282542,        59,       627,    638464,         0,      4.18,      0.07,      4.10,      0.00
         7,    282283,       375,       570,    580608,         0,      3.77,      0.07,      3.69,      0.00
         8,    278712,       130,      4386,   4470784,         0,     25.39,      0.08,     25.29,      0.00
         9,    281581,       200,      1447,   1473024,         0,      9.28,      0.07,      9.20,      0.00
        10,    280756,        61,      2411,   2456064,         0,     14.57,      0.07,     14.49,      0.00
        11,    282563,       591,        74,     75264,         0,      0.57,      0.07,      0.49,      0.00
        12,    282064,        10,      1154,   1177600,         0,      7.22,      0.07,      7.14,      0.00
        13,    282342,       580,       306,    312320,         0,      2.03,      0.07,      1.96,      0.00
        14,    279994,       351,      2883,   2933760,         0,     16.75,      0.07,     16.67,      0.00
        15,    282199,       204,       825,    842752,         0,      5.40,      0.07,      5.33,      0.00
        16,    279444,        81,      3703,   3776000,         0,     20.85,      0.09,     20.75,      0.00
        17,    281184,       303,      1741,   1773568,         0,     10.86,      0.07,     10.79,      0.00
        18,    282542,       558,       128,    130048,         0,      0.91,      0.07,      0.83,      0.00
        19,    282541,       175,       512,    521216,         0,      3.39,      0.07,      3.32,      0.00
        20,    282012,       479,       737,    751616,         0,      4.79,      0.07,      4.71,      0.00
        21,    282614,       491,       123,    125440,         0,      0.89,      0.07,      0.82,      0.00
        22,    282512,       289,       427,    434688,         0,      2.97,      0.09,      2.88,      0.00
        23,    281449,       172,      1607,   1637888,         0,      9.92,      0.07,      9.84,      0.00
        24,    277547,       579,      5102,   5194752,         0,     29.01,      0.07,     28.93,      0.00
        25,    282411,       501,       316,    321536,         0,      2.29,      0.07,      2.22,      0.00
        26,    282093,       595,       540,    550400,         0,      3.49,      0.07,      3.43,      0.00
        27,    282566,       372,       290,    295424,         0,      1.86,      0.07,      1.79,      0.00
        28,    282096,       200,       932,    949760,         0,      5.98,      0.07,      5.90,      0.00
        29,    282418,       482,       328,    333824,         0,      2.32,      0.08,      2.24,      0.00
        30,    274212,         0,      9016,   9180160,         0,     50.14,      0.07,     50.04,      0.00
        31,    281667,       263,      1298,   1325056,         0,      8.31,      0.07,      8.23,      0.00
        32,    282480,       497,       251,    256000,         0,      1.80,      0.07,      1.73,      0.00
        33,    281093,        64,      2071,   2108928,         0,     12.43,      0.06,     12.36,      0.00
        34,    280629,        38,      2561,   2609664,         0,     15.33,      0.09,     15.23,      0.00
        35,    281586,        77,      1565,   1593344,         0,      9.83,      0.08,      9.75,      0.00
        36,    282390,       331,       507,    517120,         0,      3.44,      0.07,      3.36,      0.00
        37,    282600,       563,        65,     66560,         0,      0.52,      0.07,      0.45,      0.00
        38,    282561,       577,        90,     92160,         0,      0.63,      0.07,      0.56,      0.00
        39,    282595,       564,        69,     70656,         0,      0.48,      0.07,      0.42,      0.00
        40,    282247,       294,       687,    700928,         0,      4.46,      0.08,      4.38,      0.00
        41,    282437,       338,       453,    461312,         0,      3.16,      0.07,      3.09,      0.00
        42,    282271,       587,       370,    376320,         0,      2.43,      0.07,      2.35,      0.00
        43,    282595,       550,        83,     84992,         0,      0.64,      0.07,      0.57,      0.00
        44,    282585,       592,        51,     51712,         0,      0.39,      0.07,      0.31,      0.00
        45,    282417,       479,       332,    339456,         0,      2.33,      0.08,      2.25,      0.00
        46,    282591,       113,       524,    534016,         0,      3.51,      0.07,      3.44,      0.00
        47,    282149,       154,       925,    943104,         0,      5.83,      0.08,      5.75,      0.00
        48,    282595,       215,       418,    424960,         0,      2.90,      0.09,      2.81,      0.00
        49,    282513,       597,       118,    119808,         0,      0.81,      0.07,      0.73,      0.00
        50,    282364,        13,       851,    863744,         0,      5.35,      0.07,      5.27,      0.00
        51,    282405,       550,       273,    277504,         0,      1.79,      0.07,      1.72,      0.00
        52,    280402,       370,      2456,   2502144,         0,     14.47,      0.07,     14.39,      0.00
        53,    282507,       551,       170,    173056,         0,      1.22,      0.08,      1.14,      0.00
        54,    282575,       515,       138,    140800,         0,      0.95,      0.08,      0.88,      0.00
        55,    281218,         0,      2010,   2045952,         0,     12.29,      0.08,     12.21,      0.00
        56,    282608,       565,        55,     55808,         0,      0.47,      0.07,      0.39,      0.00
        57,    282346,       581,       301,    307200,         0,      1.99,      0.07,      1.92,      0.00
        58,    282611,       456,       161,    164352,         0,      1.15,      0.07,      1.08,      0.00
        59,    282596,       511,       121,    123904,         0,      0.81,      0.07,      0.74,      0.00
        60,    282394,       296,       538,    548352,         0,      3.50,      0.07,      3.43,      0.00
        61,    282604,       350,       274,    279552,         0,      1.76,      0.08,      1.69,      0.00
        62,    282494,        28,       706,    718848,         0,      4.69,      0.08,      4.61,      0.00
        63,    282612,       545,        71,     72704,         0,      0.57,      0.07,      0.50,      0.00
        64,    275885,       160,      7183,   7315456,         0,     38.76,      0.07,     38.67,      0.00
        65,    282518,       552,       158,    160768,         0,      1.20,      0.07,      1.13,      0.00
        66,    278401,       190,      4637,   4723712,         0,     26.81,      0.07,     26.73,      0.00
        67,    282610,       257,       361,    369152,         0,      2.42,      0.07,      2.34,      0.00
