queryID,n_prune_user,n_result_user,n_refine_user,io_cost,ip_cost,total_time,memory_index_time,io_time,ip_time
         0,    480075,        35,        79,     41984,         0,      0.61,      0.10,      0.51,      0.00
         1,    480137,        37,        15,     11264,         0,      0.20,      0.10,      0.10,      0.00
         2,    480115,        37,        37,     23040,         0,      0.34,      0.09,      0.24,      0.00
         3,    480132,        11,        46,     51200,         0,      0.43,      0.09,      0.34,      0.00
         4,    480101,        39,        49,     59904,         0,      0.44,      0.09,      0.35,      0.00
         5,    480147,         8,        34,     17408,         0,      0.33,      0.10,      0.23,      0.00
         6,    480130,        10,        49,     26112,         0,      0.40,      0.10,      0.30,      0.00
         7,    480125,        23,        41,     32768,         0,      0.36,      0.10,      0.26,      0.00
         8,    480130,        38,        21,     13824,         0,      0.23,      0.10,      0.14,      0.00
         9,    480146,        37,         6,      5120,         0,      0.13,      0.09,      0.04,      0.00
        10,    480139,         9,        41,     29184,         0,      0.32,      0.09,      0.22,      0.00
        11,    479958,        30,       201,    352768,         0,      1.38,      0.09,      1.29,      0.00
        12,    480143,        18,        28,     16896,         0,      0.33,      0.10,      0.23,      0.00
        13,    480098,        33,        58,     34816,         0,      0.45,      0.10,      0.35,      0.00
        14,    480069,         0,       120,     61440,         0,      0.90,      0.10,      0.79,      0.00
        15,    480147,        10,        32,     47104,         0,      0.33,      0.09,      0.23,      0.00
        16,    480138,        13,        38,     21504,         0,      0.39,      0.10,      0.29,      0.00
        17,    480144,         4,        41,     22016,         0,      0.39,      0.10,      0.29,      0.00
        18,    480093,        24,        72,     40960,         0,      0.58,      0.10,      0.48,      0.00
        19,    480148,        12,        29,     14848,         0,      0.30,      0.10,      0.19,      0.00
        20,    480008,        34,       147,     77312,         0,      1.12,      0.10,      1.02,      0.00
        21,    480123,        28,        38,     35840,         0,      0.40,      0.10,      0.30,      0.00
        22,    480098,        20,        71,     37888,         0,      0.57,      0.10,      0.47,      0.00
        23,    480142,        31,        16,     10240,         0,      0.23,      0.10,      0.13,      0.00
        24,    480136,        27,        26,     16896,         0,      0.25,      0.09,      0.15,      0.00
        25,    480080,        31,        78,     46080,         0,      0.58,      0.10,      0.48,      0.00
        26,    479979,        31,       179,     96768,         0,      1.23,      0.10,      1.13,      0.00
        27,    480143,        36,        10,      5120,         0,      0.17,      0.10,      0.07,      0.00
        28,    480137,        17,        35,     26624,         0,      0.31,      0.10,      0.21,      0.00
        29,    480060,        34,        95,     92160,         0,      0.80,      0.10,      0.70,      0.00
        30,    480146,         6,        37,     20992,         0,      0.31,      0.10,      0.21,      0.00
        31,    480141,        30,        18,     13824,         0,      0.21,      0.10,      0.12,      0.00
        32,    480136,        24,        29,     22528,         0,      0.27,      0.10,      0.17,      0.00
        33,    480137,        35,        17,     10240,         0,      0.22,      0.10,      0.12,      0.00
        34,    480084,         5,       100,     53248,         0,      0.86,      0.10,      0.75,      0.00
        35,    480136,        29,        24,     25600,         0,      0.26,      0.10,      0.16,      0.00
        36,    480134,        24,        31,     17408,         0,      0.31,      0.10,      0.20,      0.00
        37,    480127,        39,        23,     15360,         0,      0.30,      0.10,      0.20,      0.00
        38,    479985,         0,       204,    104448,         0,      1.43,      0.11,      1.32,      0.00
        39,    480143,        14,        32,     19456,         0,      0.32,      0.10,      0.22,      0.00
        40,    480149,         4,        36,     35328,         0,      0.33,      0.09,      0.23,      0.00
        41,    480146,        27,        16,     12800,         0,      0.19,      0.09,      0.09,      0.00
        42,    480135,        39,        15,      8192,         0,      0.19,      0.09,      0.10,      0.00
        43,    480140,         3,        46,     67072,         0,      0.35,      0.09,      0.26,      0.00
        44,    480140,        24,        25,     24576,         0,      0.27,      0.09,      0.17,      0.00
        45,    479344,        34,       811,    430080,         0,      4.97,      0.10,      4.87,      0.00
        46,    480139,        29,        21,     11776,         0,      0.22,      0.10,      0.12,      0.00
        47,    480138,        25,        26,     16896,         0,      0.24,      0.10,      0.14,      0.00
        48,    480148,        20,        21,     11776,         0,      0.22,      0.09,      0.12,      0.00
