queryID,n_user_candidate,io_cost,ip_cost,total_time,memory_index_time,io_time,ip_time
         0,        56,     29335,         0,      0.15,      0.07,      0.08,      0.00
         1,        56,     29339,         0,      0.15,      0.07,      0.08,      0.00
         2,        70,     36673,         0,      0.17,      0.07,      0.10,      0.00
         3,     69053,  36114719,         0,     97.72,      0.07,     97.62,      0.00
         4,     41771,  21846233,         0,     59.11,      0.07,     59.02,      0.00
         5,       270,    141210,         0,      0.45,      0.07,      0.38,      0.00
         6,        14,      7322,         0,      0.09,      0.07,      0.02,      0.00
         7,        41,     21481,         0,      0.13,      0.07,      0.06,      0.00
         8,        66,     34578,         0,      0.17,      0.07,      0.09,      0.00
         9,       131,     68513,         0,      0.26,      0.07,      0.19,      0.00
        10,       109,     57007,         0,      0.23,      0.07,      0.15,      0.00
        11,        19,      9956,         0,      0.10,      0.07,      0.03,      0.00
        12,        16,      8384,         0,      0.09,      0.07,      0.02,      0.00
        13,     16398,   8576154,         0,     23.26,      0.07,     23.18,      0.00
        14,        38,     19911,         0,      0.13,      0.07,      0.05,      0.00
        15,       220,    115279,         0,      0.39,      0.07,      0.31,      0.00
        16,     10177,   5322571,         0,     14.46,      0.07,     14.38,      0.00
        17,        22,     11528,         0,      0.10,      0.07,      0.03,      0.00
        18,        16,      8384,         0,      0.09,      0.07,      0.02,      0.00
        19,        87,     45588,         0,      0.19,      0.07,      0.12,      0.00
        20,        26,     13624,         0,      0.11,      0.07,      0.04,      0.00
        21,        22,     11528,         0,      0.10,      0.07,      0.03,      0.00
        22,       238,    124474,         0,      0.41,      0.07,      0.34,      0.00
        23,       379,    198217,         0,      0.61,      0.07,      0.53,      0.00
        24,        55,     28765,         0,      0.15,      0.07,      0.08,      0.00
        25,        63,     33012,         0,      0.16,      0.07,      0.09,      0.00
        26,        90,     47070,         0,      0.20,      0.07,      0.13,      0.00
        27,    169653,  88728519,         0,    240.20,      0.07,    240.07,      0.00
        28,       438,    229074,         0,      0.70,      0.07,      0.62,      0.00
        29,       181,     94663,         0,      0.33,      0.07,      0.26,      0.00
        30,      1466,    766718,         0,      2.14,      0.07,      2.07,      0.00
        31,    338621, 177098783,         0,    481.33,      0.07,    481.15,      0.00
        32,       443,    231689,         0,      0.70,      0.07,      0.63,      0.00
        33,       962,    503126,         0,      1.45,      0.07,      1.37,      0.00
        34,        10,      5238,         0,      0.09,      0.07,      0.01,      0.00
        35,       121,     63283,         0,      0.25,      0.07,      0.17,      0.00
        36,        38,     19874,         0,      0.13,      0.07,      0.05,      0.00
        37,        71,     37133,         0,      0.18,      0.07,      0.10,      0.00
        38,     13826,   7230998,         0,     19.69,      0.07,     19.61,      0.00
        39,       372,    194556,         0,      0.60,      0.07,      0.52,      0.00
        40,       791,    413693,         0,      1.19,      0.07,      1.12,      0.00
        41,    325462, 170216626,         0,    462.59,      0.07,    462.40,      0.00
        42,       528,    276144,         0,      0.83,      0.07,      0.75,      0.00
        43,      2669,   1395887,         0,      3.85,      0.07,      3.77,      0.00
        44,        12,      6288,         0,      0.09,      0.07,      0.02,      0.00
        45,      2831,   1480613,         0,      4.08,      0.07,      4.00,      0.00
        46,     35066,  18339518,         0,     49.73,      0.07,     49.64,      0.00
        47,       363,    189849,         0,      0.59,      0.07,      0.52,      0.00
        48,        31,     16242,         0,      0.12,      0.07,      0.04,      0.00
        49,    261629, 136831967,         0,    371.15,      0.07,    370.99,      0.00
        50,        37,     19388,         0,      0.12,      0.07,      0.05,      0.00
        51,      2486,   1300178,         0,      3.59,      0.07,      3.51,      0.00
        52,        10,      5240,         0,      0.09,      0.07,      0.01,      0.00
        53,        12,      6288,         0,      0.09,      0.07,      0.02,      0.00
        54,      1313,    686699,         0,      1.93,      0.07,      1.85,      0.00
        55,      4926,   2576298,         0,      7.04,      0.07,      6.97,      0.00
        56,        12,      6288,         0,      0.09,      0.07,      0.02,      0.00
        57,       169,     88387,         0,      0.31,      0.07,      0.24,      0.00
        58,      9238,   4831474,         0,     13.10,      0.07,     13.03,      0.00
