queryID,n_prune_user,n_result_user,n_refine_user,io_cost,ip_cost,total_time,memory_index_time,io_time,ip_time
         0,    466943,         0,     13246,  13479936,         0,     67.99,      0.11,     67.85,      0.00
         1,    480130,        38,        21,     21504,         0,      0.27,      0.12,      0.14,      0.00
         2,    480003,        11,       175,    178176,         0,      1.22,      0.10,      1.12,      0.00
         3,    480105,        23,        61,     61440,         0,      0.55,      0.10,      0.44,      0.00
         4,    480104,        49,        36,     36864,         0,      0.31,      0.10,      0.21,      0.00
         5,    473815,         0,      6374,   6484992,         0,     34.71,      0.10,     34.59,      0.00
         6,    227669,         0,    252520, 257056768,         0,    589.23,      0.11,    588.76,      0.00
         7,    480104,        25,        60,     61440,         0,      0.42,      0.09,      0.33,      0.00
         8,    480123,        11,        55,     55808,         0,      0.42,      0.10,      0.31,      0.00
         9,    480111,        49,        29,     29696,         0,      0.28,      0.10,      0.18,      0.00
        10,    480120,         2,        67,     68608,         0,      0.46,      0.10,      0.36,      0.00
        11,    480132,        30,        27,     27648,         0,      0.25,      0.10,      0.15,      0.00
        12,    479268,        49,       872,    890880,         0,      5.32,      0.09,      5.22,      0.00
        13,    479248,         9,       932,    951296,         0,      5.59,      0.11,      5.48,      0.00
        14,    456809,         0,     23380,  23804416,         0,    122.99,      0.10,    122.84,      0.00
        15,    480117,        41,        31,     31232,         0,      0.29,      0.10,      0.19,      0.00
        16,    480138,         0,        51,     50688,         0,      0.45,      0.10,      0.35,      0.00
        17,    470458,         0,      9731,   9910784,         0,     52.58,      0.09,     52.46,      0.00
        18,    478784,         0,      1405,   1426432,         0,      8.38,      0.10,      8.28,      0.00
        19,    477831,         0,      2358,   2398720,         0,     13.21,      0.11,     13.10,      0.00
        20,    473624,         0,      6565,   6683136,         0,     35.62,      0.13,     35.48,      0.00
        21,    480095,        42,        52,     52736,         0,      0.44,      0.10,      0.33,      0.00
        22,    470887,         0,      9302,   9468416,         0,     49.44,      0.11,     49.32,      0.00
        23,    480133,        23,        33,     33792,         0,      0.31,      0.10,      0.21,      0.00
        24,    480003,        17,       169,    172032,         0,      1.15,      0.10,      1.05,      0.00
        25,    479896,         0,       293,    297984,         0,      1.98,      0.10,      1.88,      0.00
        26,    468298,         0,     11891,  12107776,         0,     63.04,      0.12,     62.89,      0.00
        27,    480010,         0,       179,    182272,         0,      1.31,      0.09,      1.21,      0.00
        28,    480108,         4,        77,     78848,         0,      0.60,      0.10,      0.49,      0.00
        29,    480126,        11,        52,     53248,         0,      0.49,      0.10,      0.39,      0.00
        30,    479993,         0,       196,    200192,         0,      1.38,      0.10,      1.28,      0.00
        31,    480114,        10,        65,     66048,         0,      0.52,      0.10,      0.42,      0.00
        32,    480086,        30,        73,     73728,         0,      0.56,      0.09,      0.47,      0.00
        33,    480079,        37,        73,     74240,         0,      0.62,      0.10,      0.53,      0.00
        34,    459965,         0,     20224,  20584448,         0,    106.81,      0.09,    106.68,      0.00
        35,    480120,        43,        26,     26624,         0,      0.26,      0.11,      0.15,      0.00
        36,    480074,         0,       115,    116224,         0,      0.78,      0.09,      0.68,      0.00
        37,    480125,         0,        64,     65024,         0,      0.56,      0.10,      0.46,      0.00
        38,    318581,         0,    161608, 164516864,         0,    515.55,      0.11,    515.17,      0.00
        39,    480010,         0,       179,    183296,         0,      1.17,      0.10,      1.07,      0.00
