queryID,n_prune_user,n_result_user,n_refine_user,io_cost,ip_cost,total_time,memory_index_time,io_time,ip_time
         0,   1823158,        18,         3,      2560,         0,      0.42,      0.38,      0.04,      0.00
         1,   1823159,        18,         2,      1024,         0,      0.52,      0.50,      0.02,      0.00
         2,   1823156,        18,         5,      2560,         0,      0.53,      0.47,      0.06,      0.00
         3,   1823158,        19,         2,      1024,         0,      0.44,      0.41,      0.03,      0.00
         4,   1823157,        19,         3,      1536,         0,      0.47,      0.44,      0.03,      0.00
         5,   1823158,        18,         3,      1536,         0,      0.48,      0.45,      0.03,      0.00
         6,   1823155,        19,         5,      2560,         0,      0.50,      0.46,      0.04,      0.00
         7,   1823158,        18,         3,      1536,         0,      0.48,      0.44,      0.04,      0.00
         8,   1823156,        17,         6,      3072,         0,      0.52,      0.47,      0.04,      0.00
         9,   1823056,         0,       123,     62976,         0,      1.42,      0.49,      0.93,      0.00
        10,   1823158,        18,         3,      1536,         0,      0.52,      0.49,      0.02,      0.00
        11,   1823158,        15,         6,      3072,         0,      0.53,      0.46,      0.07,      0.00
        12,   1823158,        19,         2,      1024,         0,      0.46,      0.44,      0.02,      0.00
        13,   1823159,        15,         5,      2560,         0,      0.55,      0.49,      0.05,      0.00
        14,   1823158,        13,         8,      4096,         0,      0.55,      0.47,      0.07,      0.00
        15,   1823159,        19,         1,       512,         0,      0.48,      0.46,      0.02,      0.00
        16,   1823159,        17,         3,      2048,         0,      0.47,      0.44,      0.03,      0.00
        17,   1823159,        15,         5,      2560,         0,      0.54,      0.49,      0.05,      0.00
        18,   1823158,        19,         2,      1024,         0,      0.43,      0.41,      0.02,      0.00
        19,   1823159,        17,         3,      2048,         0,      0.48,      0.44,      0.04,      0.00
        20,   1823156,        19,         4,      2048,         0,      0.49,      0.44,      0.04,      0.00
        21,   1823159,        19,         1,       512,         0,      0.46,      0.44,      0.02,      0.00
        22,   1823159,        18,         2,      1024,         0,      0.49,      0.46,      0.03,      0.00
        23,   1823152,        18,         9,      4608,         0,      0.55,      0.49,      0.06,      0.00
        24,   1823156,        18,         5,      2560,         0,      0.52,      0.48,      0.04,      0.00
        25,   1823158,        18,         3,      1536,         0,      0.50,      0.47,      0.03,      0.00
        26,   1823153,        16,        10,      8704,         0,      0.49,      0.40,      0.09,      0.00
        27,   1823153,         0,        26,     13312,         0,      0.72,      0.48,      0.24,      0.00
        28,   1823153,        19,         7,      6144,         0,      0.50,      0.43,      0.06,      0.00
        29,   1823159,        19,         1,       512,         0,      0.50,      0.49,      0.01,      0.00
        30,   1823158,        18,         3,      1536,         0,      0.50,      0.46,      0.04,      0.00
        31,   1823158,        19,         2,      1024,         0,      0.45,      0.43,      0.02,      0.00
        32,   1823158,        19,         2,      1024,         0,      0.44,      0.41,      0.03,      0.00
        33,   1823159,        15,         5,      2560,         0,      0.49,      0.45,      0.04,      0.00
        34,   1823157,        14,         8,      5632,         0,      0.45,      0.39,      0.06,      0.00
        35,   1823159,        18,         2,      1024,         0,      0.48,      0.46,      0.01,      0.00
        36,   1823159,        19,         1,       512,         0,      0.48,      0.45,      0.02,      0.00
        37,   1823159,        18,         2,      1024,         0,      0.48,      0.45,      0.03,      0.00
        38,   1823157,        17,         5,      2560,         0,      0.51,      0.46,      0.05,      0.00
        39,   1823153,        16,        10,      5120,         0,      0.53,      0.45,      0.08,      0.00
        40,   1823157,        19,         3,      1536,         0,      0.45,      0.41,      0.04,      0.00
        41,   1823157,        19,         3,      2048,         0,      0.44,      0.42,      0.03,      0.00
        42,   1823159,        16,         4,      2048,         0,      0.51,      0.46,      0.05,      0.00
        43,   1823154,        19,         6,      3072,         0,      0.50,      0.44,      0.06,      0.00
        44,   1823157,        17,         5,      4608,         0,      0.45,      0.40,      0.05,      0.00
        45,   1823156,        16,         7,      3584,         0,      0.51,      0.45,      0.06,      0.00
        46,   1823159,        15,         5,      7680,         0,      0.44,      0.39,      0.05,      0.00
        47,   1823157,        17,         5,      2560,         0,      0.52,      0.46,      0.05,      0.00
        48,   1823159,        18,         2,      1024,         0,      0.45,      0.42,      0.03,      0.00
        49,   1823158,        19,         2,      1024,         0,      0.43,      0.40,      0.03,      0.00
        50,   1823157,        18,         4,      2048,         0,      0.52,      0.47,      0.05,      0.00
        51,   1823159,        19,         1,       512,         0,      0.43,      0.41,      0.02,      0.00
        52,   1823159,        18,         2,      1024,         0,      0.45,      0.42,      0.02,      0.00
        53,   1823157,        19,         3,      1536,         0,      0.51,      0.47,      0.04,      0.00
        54,   1823155,        18,         6,      3072,         0,      0.53,      0.46,      0.07,      0.00
        55,   1823157,        19,         3,      2048,         0,      0.47,      0.44,      0.03,      0.00
        56,   1823157,        17,         5,      2560,         0,      0.52,      0.47,      0.05,      0.00
        57,   1823158,        18,         3,      1536,         0,      0.48,      0.44,      0.04,      0.00
        58,   1823158,        19,         2,      1024,         0,      0.47,      0.44,      0.02,      0.00
        59,   1823158,        19,         2,      1024,         0,      0.48,      0.46,      0.02,      0.00
        60,   1823158,        17,         4,      2048,         0,      0.49,      0.44,      0.04,      0.00
        61,   1823156,        19,         4,      2048,         0,      0.52,      0.48,      0.04,      0.00
        62,   1823157,        17,         5,      2560,         0,      0.49,      0.45,      0.04,      0.00
        63,   1823158,        18,         3,      1536,         0,      0.48,      0.45,      0.03,      0.00
        64,   1823159,        19,         1,       512,         0,      0.43,      0.42,      0.01,      0.00
        65,   1823157,        18,         4,      2048,         0,      0.49,      0.45,      0.04,      0.00
        66,   1823159,        18,         2,      1024,         0,      0.49,      0.46,      0.03,      0.00
        67,   1823156,        12,        11,      5632,         0,      0.56,      0.45,      0.11,      0.00
        68,   1823159,        17,         3,      1536,         0,      0.50,      0.47,      0.03,      0.00
        69,   1823159,        17,         3,      1536,         0,      0.47,      0.44,      0.03,      0.00
        70,   1823159,        19,         1,       512,         0,      0.47,      0.45,      0.02,      0.00
        71,   1823159,        18,         2,      1024,         0,      0.47,      0.45,      0.02,      0.00
        72,   1823158,        19,         2,      1024,         0,      0.47,      0.45,      0.02,      0.00
        73,   1823157,        19,         3,      1536,         0,      0.45,      0.42,      0.03,      0.00
        74,   1823158,        18,         3,      1536,         0,      0.51,      0.47,      0.04,      0.00
        75,   1823159,        17,         3,      1536,         0,      0.46,      0.43,      0.04,      0.00
        76,   1823159,        19,         1,       512,         0,      0.46,      0.44,      0.02,      0.00
        77,   1823158,        17,         4,      2048,         0,      0.47,      0.44,      0.03,      0.00
        78,   1823158,        18,         3,      1536,         0,      0.46,      0.42,      0.04,      0.00
        79,   1823159,        17,         3,      1536,         0,      0.45,      0.42,      0.03,      0.00
        80,   1823154,        19,         6,      3072,         0,      0.53,      0.46,      0.06,      0.00
        81,   1823156,        16,         7,      3584,         0,      0.52,      0.46,      0.05,      0.00
        82,   1823159,        18,         2,      1024,         0,      0.50,      0.46,      0.03,      0.00
        83,   1823159,        18,         2,      1024,         0,      0.49,      0.46,      0.03,      0.00
        84,   1823155,        19,         5,      2560,         0,      0.46,      0.40,      0.06,      0.00
        85,   1823157,        19,         3,      1536,         0,      0.43,      0.40,      0.03,      0.00
        86,   1823153,        19,         7,      3584,         0,      0.48,      0.42,      0.06,      0.00
        87,   1823155,        19,         5,      2560,         0,      0.52,      0.47,      0.05,      0.00
        88,   1823159,        18,         2,      1024,         0,      0.45,      0.43,      0.02,      0.00
        89,   1823158,        19,         2,      2048,         0,      0.47,      0.44,      0.03,      0.00
        90,   1823159,        17,         3,      1536,         0,      0.50,      0.46,      0.04,      0.00
        91,   1823157,        14,         8,      4096,         0,      0.53,      0.46,      0.06,      0.00
        92,   1823158,        16,         5,      4096,         0,      0.50,      0.44,      0.06,      0.00
        93,   1823158,        19,         2,      1536,         0,      0.44,      0.41,      0.02,      0.00
