queryID,n_prune_user,n_result_user,n_refine_user,ip_cost,io_cost,total_time,memory_index_time,io_time
         0,   1823128,        49,         2,   1823179,       256,      0.45,      0.42,      0.03
         1,   1823114,        47,        18,   1823179,      1152,      0.76,      0.60,      0.16
         2,   1823126,        48,         5,   1823179,       320,      0.65,      0.60,      0.05
         3,   1823129,        50,         0,   1823179,         0,      0.47,      0.47,      0.00
         4,   1823129,        50,         0,   1823179,         0,      0.58,      0.58,      0.00
         5,   1823127,        48,         4,   1823179,       320,      0.63,      0.57,      0.06
         6,   1823129,        50,         0,   1823179,         0,      0.61,      0.61,      0.00
         7,   1823128,        48,         3,   1823179,       256,      0.57,      0.53,      0.04
         8,   1823128,        38,        13,   1823179,       832,      0.70,      0.59,      0.11
         9,   1823056,        40,        83,   1823179,      5312,      1.34,      0.60,      0.74
        10,   1823118,        46,        15,   1823179,       960,      0.75,      0.63,      0.12
        11,   1823074,        42,        63,   1823179,      4672,      1.12,      0.60,      0.52
        12,   1823127,        49,         3,   1823179,       256,      0.58,      0.54,      0.04
        13,   1823099,        43,        37,   1823179,      2368,      0.90,      0.61,      0.28
        14,   1823124,        35,        20,   1823179,      1280,      0.75,      0.60,      0.15
        15,   1823124,        48,         7,   1823179,       448,      0.63,      0.56,      0.07
        16,   1823125,        49,         5,   1823179,       576,      0.60,      0.54,      0.06
        17,   1823109,        49,        21,   1823179,      1344,      0.80,      0.60,      0.19
        18,   1823129,        50,         0,   1823179,         0,      0.49,      0.49,      0.00
        19,   1823129,        50,         0,   1823179,         0,      0.56,      0.56,      0.00
        20,   1823129,        50,         0,   1823179,         0,      0.56,      0.56,      0.00
        21,   1823129,        50,         0,   1823179,         0,      0.53,      0.52,      0.00
        22,   1823124,        48,         7,   1823179,       448,      0.63,      0.55,      0.08
        23,   1823127,        42,        10,   1823179,       640,      0.71,      0.60,      0.10
        24,   1823118,        42,        19,   1823179,      1216,      0.77,      0.60,      0.17
        25,   1823127,        45,         7,   1823179,       512,      0.67,      0.60,      0.07
        26,   1823129,        50,         0,   1823179,         0,      0.44,      0.44,      0.00
        27,   1823110,        43,        26,   1823179,      1664,      0.83,      0.62,      0.21
        28,   1823127,        47,         5,   1823179,       704,      0.59,      0.54,      0.05
        29,   1823120,        49,        10,   1823179,       640,      0.70,      0.61,      0.09
        30,   1823119,        48,        12,   1823179,       832,      0.71,      0.61,      0.09
        31,   1823124,        49,         6,   1823179,       448,      0.63,      0.58,      0.05
        32,   1823128,        49,         2,   1823179,       192,      0.54,      0.52,      0.01
        33,   1823128,        47,         4,   1823179,       320,      0.63,      0.58,      0.05
        34,   1823129,        50,         0,   1823179,         0,      0.49,      0.49,      0.00
        35,   1823123,        49,         7,   1823179,       512,      0.65,      0.57,      0.07
        36,   1823124,        48,         7,   1823179,       448,      0.64,      0.58,      0.06
        37,   1823126,        46,         7,   1823179,       640,      0.66,      0.58,      0.08
        38,   1823125,        49,         5,   1823179,       320,      0.65,      0.60,      0.05
        39,   1823129,        50,         0,   1823179,         0,      0.59,      0.59,      0.00
        40,   1823129,        50,         0,   1823179,         0,      0.51,      0.51,      0.00
        41,   1823128,        46,         5,   1823179,       320,      0.54,      0.50,      0.04
        42,   1823127,        36,        16,   1823179,      1216,      0.72,      0.59,      0.13
        43,   1823127,        48,         4,   1823179,       384,      0.60,      0.55,      0.05
        44,   1823129,        50,         0,   1823179,         0,      0.46,      0.46,      0.00
        45,   1823127,        46,         6,   1823179,       384,      0.64,      0.57,      0.06
        46,   1823127,        45,         7,   1823179,      4608,      0.51,      0.42,      0.09
        47,   1823117,        46,        16,   1823179,      1344,      0.74,      0.60,      0.13
        48,   1823128,        44,         7,   1823179,       896,      0.56,      0.49,      0.07
        49,   1823128,        47,         4,   1823179,       384,      0.50,      0.46,      0.04
        50,   1823127,        42,        10,   1823179,       640,      0.70,      0.59,      0.11
        51,   1823129,        50,         0,   1823179,         0,      0.47,      0.47,      0.00
        52,   1823129,        50,         0,   1823179,         0,      0.50,      0.50,      0.00
        53,   1823127,        49,         3,   1823179,       192,      0.60,      0.57,      0.03
        54,   1823128,        41,        10,   1823179,       640,      0.67,      0.57,      0.10
        55,   1823129,        50,         0,   1823179,         0,      0.53,      0.53,      0.00
        56,   1823125,        47,         7,   1823179,       576,      0.63,      0.57,      0.05
        57,   1823129,        50,         0,   1823179,         0,      0.54,      0.53,      0.00
        58,   1823129,        50,         0,   1823179,         0,      0.58,      0.58,      0.00
        59,   1823129,        50,         0,   1823179,         0,      0.56,      0.56,      0.00
        60,   1823126,        47,         6,   1823179,       512,      0.57,      0.52,      0.06
        61,   1823125,        46,         8,   1823179,       512,      0.68,      0.60,      0.08
        62,   1823127,        49,         3,   1823179,       192,      0.59,      0.54,      0.05
        63,   1823125,        48,         6,   1823179,       512,      0.62,      0.55,      0.07
        64,   1823128,        48,         3,   1823179,       256,      0.53,      0.50,      0.02
        65,   1823129,        50,         0,   1823179,         0,      0.53,      0.53,      0.00
        66,   1823129,        50,         0,   1823179,         0,      0.57,      0.56,      0.00
        67,   1823074,        44,        61,   1823179,      3904,      0.96,      0.55,      0.41
        68,   1823126,        31,        22,   1823179,      1472,      0.81,      0.61,      0.20
        69,   1823128,        43,         8,   1823179,       640,      0.58,      0.51,      0.07
        70,   1823127,        48,         4,   1823179,       256,      0.57,      0.54,      0.03
        71,   1823128,        48,         3,   1823179,       192,      0.57,      0.52,      0.05
        72,   1823125,        45,         9,   1823179,       576,      0.66,      0.58,      0.08
        73,   1823126,        49,         4,   1823179,       384,      0.60,      0.54,      0.06
        74,   1823125,        45,         9,   1823179,       576,      0.66,      0.59,      0.07
        75,   1823128,        42,         9,   1823179,       640,      0.61,      0.52,      0.09
        76,   1823124,        49,         6,   1823179,       576,      0.62,      0.56,      0.06
        77,   1823127,        44,         8,   1823179,       512,      0.63,      0.55,      0.07
        78,   1823128,        48,         3,   1823179,       256,      0.60,      0.54,      0.06
        79,   1823126,        49,         4,   1823179,       256,      0.53,      0.49,      0.03
        80,   1823121,        46,        12,   1823179,       768,      0.69,      0.59,      0.10
        81,   1823127,        41,        11,   1823179,       704,      0.67,      0.56,      0.11
        82,   1823125,        45,         9,   1823179,       832,      0.67,      0.59,      0.08
        83,   1823128,        45,         6,   1823179,       448,      0.63,      0.56,      0.07
        84,   1823126,        45,         8,   1823179,      1152,      0.52,      0.45,      0.07
        85,   1823128,        47,         4,   1823179,       448,      0.54,      0.49,      0.06
        86,   1823127,        48,         4,   1823179,       320,      0.55,      0.49,      0.06
