queryID,n_prune_user,n_result_user,n_refine_user,io_cost,ip_cost,total_time,memory_index_time,io_time,ip_time
         0,   1822871,       268,        40,     40960,         0,      0.76,      0.46,      0.30,      0.00
         1,   1805328,         0,     17851,  18134016,         0,    112.08,      0.46,    111.57,      0.00
         2,   1822096,         0,      1083,   1097216,         0,      7.98,      0.47,      7.50,      0.00
         3,   1822851,       231,        97,     99328,         0,      1.25,      0.49,      0.76,      0.00
         4,   1822644,       261,       274,    280576,         0,      2.37,      0.50,      1.86,      0.00
         5,   1822791,        88,       300,    307200,         0,      2.71,      0.51,      2.20,      0.00
         6,   1822296,       224,       659,    669696,         0,      4.99,      0.51,      4.48,      0.00
         7,   1822663,       275,       241,    246272,         0,      2.16,      0.51,      1.65,      0.00
         8,   1816778,         0,      6401,   6500864,         0,     42.49,      0.50,     41.97,      0.00
         9,   1735695,         0,     87484,  88898048,         0,    496.25,      0.51,    495.46,      0.00
        10,   1814853,         0,      8326,   8452608,         0,     53.98,      0.49,     53.46,      0.00
        11,   1780749,         0,     42430,  43122176,         0,    247.98,      0.50,    247.34,      0.00
        12,   1822797,       282,       100,    102400,         0,      1.28,      0.51,      0.77,      0.00
        13,   1783661,         0,     39518,  40140288,         0,    230.92,      0.47,    230.33,      0.00
        14,   1816773,         0,      6406,   6518784,         0,     42.03,      0.50,     41.51,      0.00
        15,   1821967,         0,      1212,   1229824,         0,      8.85,      0.50,      8.34,      0.00
        16,   1822805,       244,       130,    133120,         0,      1.48,      0.51,      0.97,      0.00
        17,   1805443,         0,     17736,  18019840,         0,    111.06,      0.49,    110.52,      0.00
        18,   1822865,       211,       103,    105472,         0,      1.33,      0.51,      0.82,      0.00
        19,   1822775,       152,       252,    258048,         0,      2.24,      0.50,      1.74,      0.00
        20,   1822618,       187,       374,    382976,         0,      3.11,      0.52,      2.58,      0.00
        21,   1822410,         0,       769,    780800,         0,      5.79,      0.53,      5.25,      0.00
        22,   1821865,       290,      1024,   1048576,         0,      7.59,      0.53,      7.05,      0.00
        23,   1799365,         0,     23814,  24198656,         0,    144.29,      0.51,    143.72,      0.00
        24,   1812238,         0,     10941,  11113472,         0,     70.48,      0.50,     69.95,      0.00
        25,   1822014,       266,       899,    920576,         0,      6.72,      0.50,      6.22,      0.00
        26,   1822874,       262,        43,     43520,         0,      0.80,      0.48,      0.32,      0.00
        27,   1734603,         0,     88576,  90008064,         0,    502.91,      0.47,    502.16,      0.00
        28,   1822871,       247,        61,     62464,         0,      0.95,      0.50,      0.45,      0.00
        29,   1814084,         0,      9095,   9233920,         0,     58.79,      0.49,     58.28,      0.00
        30,   1822458,         0,       721,    734720,         0,      5.40,      0.49,      4.90,      0.00
        31,   1822854,        87,       238,    243712,         0,      2.22,      0.49,      1.72,      0.00
        32,   1822834,       234,       111,    113664,         0,      1.34,      0.52,      0.82,      0.00
        33,   1822593,        85,       501,    513024,         0,      4.03,      0.50,      3.52,      0.00
        34,   1822853,       259,        67,     68608,         0,      1.04,      0.48,      0.55,      0.00
        35,   1821859,         0,      1320,   1342976,         0,      9.25,      0.49,      8.75,      0.00
        36,   1822203,         0,       976,    994816,         0,      7.13,      0.49,      6.63,      0.00
        37,   1822310,         0,       869,    881664,         0,      6.65,      0.51,      6.13,      0.00
        38,   1821985,        32,      1162,   1189888,         0,      8.27,      0.50,      7.77,      0.00
        39,   1814896,         0,      8283,   8418304,         0,     54.20,      0.51,     53.67,      0.00
        40,   1822454,         0,       725,    732672,         0,      5.42,      0.50,      4.92,      0.00
        41,   1822857,       197,       125,    128000,         0,      1.46,      0.50,      0.95,      0.00
        42,   1814324,         0,      8855,   8997888,         0,     57.87,      0.52,     57.33,      0.00
        43,   1822271,       162,       746,    763904,         0,      5.52,      0.51,      5.00,      0.00
        44,   1822864,       279,        36,     36864,         0,      0.79,      0.49,      0.30,      0.00
        45,   1822256,        14,       909,    930816,         0,      6.81,      0.51,      6.29,      0.00
        46,   1822867,       287,        25,     25600,         0,      0.68,      0.47,      0.20,      0.00
        47,   1822047,         0,      1132,   1150976,         0,      7.97,      0.47,      7.49,      0.00
        48,   1822859,       237,        83,     84480,         0,      1.13,      0.51,      0.61,      0.00
        49,   1822848,       176,       155,    158720,         0,      1.56,      0.48,      1.07,      0.00
        50,   1816962,         0,      6217,   6318592,         0,     41.40,      0.50,     40.88,      0.00
        51,   1822830,       281,        68,     69632,         0,      1.05,      0.50,      0.55,      0.00
        52,   1822858,        83,       238,    243712,         0,      2.19,      0.52,      1.67,      0.00
        53,   1822383,        56,       740,    757760,         0,      5.49,      0.51,      4.97,      0.00
        54,   1821892,         0,      1287,   1307136,         0,      9.07,      0.50,      8.57,      0.00
        55,   1822844,       189,       146,    149504,         0,      1.60,      0.52,      1.08,      0.00
        56,   1822165,       188,       826,    838656,         0,      5.98,      0.50,      5.47,      0.00
        57,   1822866,       238,        75,     76800,         0,      1.13,      0.53,      0.60,      0.00
        58,   1822847,       148,       184,    188416,         0,      1.80,      0.52,      1.27,      0.00
        59,   1822814,        35,       330,    337920,         0,      2.82,      0.52,      2.30,      0.00
        60,   1822636,       283,       260,    261120,         0,      2.29,      0.51,      1.77,      0.00
