queryID,n_prune_user,n_result_user,n_refine_user,ip_cost,io_cost,total_time,memory_index_time,io_time
         0,   1823123,        49,         7,   1823179,      1984,      0.63,      0.55,      0.07
         1,   1820784,         0,      2395,   1823179,    687872,     15.70,      0.57,     15.11
         2,   1822936,         0,       243,   1823179,     71232,      2.22,      0.58,      1.64
         3,   1823120,        49,        10,   1823179,      2944,      0.66,      0.59,      0.07
         4,   1823122,        10,        47,   1823179,     13504,      0.94,      0.57,      0.37
         5,   1823119,        20,        40,   1823179,     12032,      0.89,      0.57,      0.31
         6,   1823052,        47,        80,   1823179,     23744,      1.17,      0.59,      0.58
         7,   1823105,        46,        28,   1823179,      8192,      0.81,      0.60,      0.21
         8,   1820957,         0,      2222,   1823179,    638016,     14.61,      0.59,     14.01
         9,   1776451,        40,     46688,   1823179,  13446016,    262.07,      0.59,    261.33
        10,   1821701,         0,      1478,   1823179,    425280,     10.11,      0.60,      9.51
        11,   1803820,         0,     19359,   1823179,   5573696,    116.07,      0.60,    115.42
        12,   1823124,        47,         8,   1823179,      2176,      0.69,      0.61,      0.08
        13,   1809969,         0,     13210,   1823179,   3806656,     79.95,      0.55,     79.36
        14,   1820596,         0,      2583,   1823179,    741440,     17.11,      0.60,     16.51
        15,   1823022,         0,       157,   1823179,     44736,      1.75,      0.60,      1.16
        16,   1823105,        44,        30,   1823179,      9088,      0.85,      0.61,      0.24
        17,   1819988,         0,      3191,   1823179,    915456,     20.76,      0.57,     20.18
        18,   1823117,        41,        21,   1823179,      6080,      0.80,      0.61,      0.18
        19,   1823119,        28,        32,   1823179,      9088,      0.88,      0.61,      0.27
        20,   1823112,        19,        48,   1823179,     14336,      1.02,      0.64,      0.38
        21,   1822946,         0,       233,   1823179,     67200,      2.19,      0.62,      1.57
        22,   1823102,         0,        77,   1823179,     21760,      1.22,      0.62,      0.59
        23,   1819361,         0,      3818,   1823179,   1100096,     24.88,      0.60,     24.27
        24,   1820512,         0,      2667,   1823179,    772288,     17.22,      0.59,     16.62
        25,   1823123,        15,        41,   1823179,     12352,      0.89,      0.57,      0.32
        26,   1823126,        46,         7,   1823179,      1984,      0.64,      0.55,      0.09
        27,   1792085,        10,     31084,   1823179,   8958208,    179.13,      0.55,    178.48
        28,   1823126,        46,         7,   1823179,      1984,      0.68,      0.59,      0.08
        29,   1822003,         0,      1176,   1823179,    339072,      8.27,      0.55,      7.72
        30,   1823062,         0,       117,   1823179,     33920,      1.39,      0.62,      0.78
        31,   1823109,        11,        59,   1823179,     17152,      1.01,      0.60,      0.42
        32,   1823127,        24,        28,   1823179,      8384,      0.83,      0.60,      0.22
        33,   1823122,         7,        50,   1823179,     14784,      1.00,      0.59,      0.42
        34,   1823128,        48,         3,   1823179,       768,      0.64,      0.62,      0.03
        35,   1823079,         0,       100,   1823179,     29120,      1.30,      0.59,      0.70
        36,   1822962,         0,       217,   1823179,     62592,      2.11,      0.59,      1.52
        37,   1822960,         0,       219,   1823179,     62592,      2.16,      0.61,      1.55
        38,   1823022,        15,       142,   1823179,     41728,      1.66,      0.59,      1.06
        39,   1820501,         0,      2678,   1823179,    772544,     17.51,      0.60,     16.90
        40,   1822921,         0,       258,   1823179,     74752,      2.35,      0.62,      1.73
        41,   1823122,        33,        24,   1823179,      7104,      0.80,      0.61,      0.19
