queryID,n_prune_user,n_result_user,n_refine_user,io_cost,ip_cost,total_time,memory_index_time,io_time,ip_time
         0,   2189437,        18,         2,      1024,         0,      0.58,      0.55,      0.02,      0.00
         1,   2189437,        18,         2,      1024,         0,      0.56,      0.55,      0.01,      0.00
         2,   2189437,        19,         1,       512,         0,      0.51,      0.51,      0.01,      0.00
         3,   2189437,        19,         1,       512,         0,      0.55,      0.54,      0.01,      0.00
         4,   2189437,        17,         3,      1536,         0,      0.60,      0.57,      0.03,      0.00
         5,   2189437,        19,         1,       512,         0,      0.56,      0.55,      0.01,      0.00
         6,   2189437,        19,         1,       512,         0,      0.58,      0.57,      0.01,      0.00
         7,   2189437,        19,         1,       512,         0,      0.53,      0.52,      0.01,      0.00
         8,   2189437,        19,         1,       512,         0,      0.56,      0.53,      0.02,      0.00
         9,   2189434,        17,         6,      3072,         0,      0.58,      0.53,      0.05,      0.00
        10,   2189437,        19,         1,       512,         0,      0.55,      0.53,      0.01,      0.00
        11,   2189436,        19,         2,      1024,         0,      0.54,      0.52,      0.02,      0.00
        12,   2189437,        19,         1,       512,         0,      0.52,      0.51,      0.01,      0.00
        13,   2189437,        18,         2,      1024,         0,      0.55,      0.54,      0.01,      0.00
        14,   2189436,        19,         2,      1024,         0,      0.58,      0.55,      0.02,      0.00
        15,   2189437,        19,         1,       512,         0,      0.52,      0.50,      0.01,      0.00
        16,   2189436,        18,         3,      6144,         0,      0.49,      0.47,      0.02,      0.00
        17,   2189436,        19,         2,      1024,         0,      0.56,      0.53,      0.03,      0.00
        18,   2189437,        19,         1,       512,         0,      0.52,      0.51,      0.01,      0.00
        19,   2189436,        18,         3,      1536,         0,      0.60,      0.57,      0.02,      0.00
        20,   2189434,        15,         8,     28160,         0,      0.54,      0.47,      0.07,      0.00
        21,   2189437,        19,         1,      1024,         0,      0.50,      0.48,      0.01,      0.00
        22,   2189437,        18,         2,      1024,         0,      0.60,      0.58,      0.02,      0.00
        23,   2189437,        19,         1,       512,         0,      0.57,      0.57,      0.00,      0.00
        24,   2189437,        17,         3,      3072,         0,      0.50,      0.47,      0.03,      0.00
        25,   2189437,        19,         1,       512,         0,      0.54,      0.52,      0.01,      0.00
        26,   2189437,        19,         1,       512,         0,      0.54,      0.53,      0.01,      0.00
        27,   2189437,        19,         1,      1024,         0,      0.49,      0.48,      0.01,      0.00
        28,   2189437,        19,         1,       512,         0,      0.53,      0.52,      0.01,      0.00
        29,   2189437,        19,         1,       512,         0,      0.57,      0.56,      0.01,      0.00
        30,   2189437,        19,         1,       512,         0,      0.52,      0.51,      0.01,      0.00
        31,   2189437,        18,         2,      1024,         0,      0.55,      0.52,      0.02,      0.00
        32,   2189436,        18,         3,      4096,         0,      0.51,      0.49,      0.03,      0.00
        33,   2189437,        19,         1,       512,         0,      0.54,      0.53,      0.01,      0.00
        34,   2189429,        19,         9,      5120,         0,      0.63,      0.56,      0.07,      0.00
        35,   2189436,        19,         2,      1024,         0,      0.55,      0.53,      0.02,      0.00
        36,   2189437,        19,         1,       512,         0,      0.52,      0.51,      0.01,      0.00
        37,   2189437,        18,         2,      2048,         0,      0.48,      0.46,      0.02,      0.00
        38,   2189436,        19,         2,      1024,         0,      0.54,      0.52,      0.02,      0.00
        39,   2189437,        19,         1,       512,         0,      0.52,      0.51,      0.00,      0.00
        40,   2189434,        18,         5,      2560,         0,      0.61,      0.56,      0.05,      0.00
        41,   2189437,        19,         1,       512,         0,      0.53,      0.52,      0.01,      0.00
        42,   2189436,        14,         7,      3584,         0,      0.61,      0.55,      0.06,      0.00
        43,   2189437,        18,         2,      1024,         0,      0.51,      0.49,      0.02,      0.00
        44,   2189436,        17,         4,      2048,         0,      0.54,      0.50,      0.04,      0.00
        45,   2189436,        19,         2,      1536,         0,      0.55,      0.53,      0.02,      0.00
        46,   2189437,        18,         2,      1024,         0,      0.56,      0.54,      0.02,      0.00
        47,   2189430,        19,         8,      4096,         0,      0.61,      0.55,      0.06,      0.00
        48,   2189433,        19,         5,      2560,         0,      0.60,      0.55,      0.05,      0.00
        49,   2189435,        18,         4,      2048,         0,      0.54,      0.49,      0.04,      0.00
        50,   2189435,        18,         4,      2048,         0,      0.56,      0.53,      0.03,      0.00
        51,   2189435,        16,         6,      3072,         0,      0.59,      0.53,      0.05,      0.00
        52,   2189437,        16,         4,      2560,         0,      0.60,      0.57,      0.03,      0.00
        53,   2189436,        17,         4,      2048,         0,      0.59,      0.54,      0.05,      0.00
        54,   2189435,        18,         4,      2048,         0,      0.59,      0.56,      0.03,      0.00
        55,   2189437,        18,         2,      1024,         0,      0.59,      0.57,      0.01,      0.00
        56,   2189433,        19,         5,      2560,         0,      0.59,      0.54,      0.05,      0.00
