queryID,n_prune_user,n_result_user,n_refine_user,io_cost,ip_cost,total_time,memory_index_time,io_time,ip_time
         0,   2189109,        98,       250,    255488,         0,      2.28,      0.61,      1.67,      0.00
         1,   2189098,         0,       359,    365568,         0,      3.03,      0.63,      2.39,      0.00
         2,   2189354,        29,        74,     75776,         0,      1.12,      0.60,      0.51,      0.00
         3,   2189351,        22,        84,     86016,         0,      1.25,      0.63,      0.62,      0.00
         4,   2188258,         0,      1199,   1223168,         0,      8.56,      0.64,      7.91,      0.00
         5,   2189129,         0,       328,    333824,         0,      2.78,      0.62,      2.16,      0.00
         6,   2187688,         0,      1769,   1807360,         0,     12.33,      0.63,     11.69,      0.00
         7,   2189337,        54,        66,     67584,         0,      1.07,      0.61,      0.46,      0.00
         8,   2189176,        89,       192,    196096,         0,      1.85,      0.60,      1.25,      0.00
         9,   2189338,         0,       119,    121856,         0,      1.38,      0.64,      0.74,      0.00
        10,   2189264,         0,       193,    197120,         0,      1.82,      0.60,      1.22,      0.00
        11,   2189289,        96,        72,     73728,         0,      1.06,      0.59,      0.47,      0.00
        12,   2189353,        76,        28,     28672,         0,      0.79,      0.57,      0.21,      0.00
        13,   2189218,        54,       185,    188928,         0,      1.82,      0.60,      1.21,      0.00
        14,   2189195,         0,       262,    266240,         0,      2.46,      0.65,      1.81,      0.00
        15,   2189303,        59,        95,     97280,         0,      1.29,      0.59,      0.70,      0.00
        16,   2189355,        96,         6,      6144,         0,      0.56,      0.52,      0.04,      0.00
        17,   2187075,         0,      2382,   2432000,         0,     16.06,      0.61,     15.44,      0.00
        18,   2189335,        86,        36,     36864,         0,      0.83,      0.58,      0.24,      0.00
        19,   2187106,         0,      2351,   2397184,         0,     16.16,      0.63,     15.52,      0.00
        20,   2189356,        96,         5,      5120,         0,      0.56,      0.52,      0.04,      0.00
        21,   2189344,        97,        16,     16384,         0,      0.72,      0.58,      0.13,      0.00
        22,   2181485,         0,      7972,   8140800,         0,     51.62,      0.58,     51.01,      0.00
        23,   2189092,        81,       284,    290816,         0,      2.66,      0.60,      2.06,      0.00
        24,   2189354,        97,         6,      6144,         0,      0.63,      0.58,      0.05,      0.00
        25,   2189289,        86,        82,     83968,         0,      1.26,      0.60,      0.66,      0.00
        26,   2189291,        75,        91,     92672,         0,      1.29,      0.63,      0.66,      0.00
        27,   2189352,        95,        10,     10240,         0,      0.63,      0.56,      0.06,      0.00
        28,   2189353,        73,        31,     31744,         0,      0.84,      0.61,      0.23,      0.00
        29,   2189339,         0,       118,    120832,         0,      1.48,      0.61,      0.87,      0.00
        30,   2189076,        73,       308,    315392,         0,      2.75,      0.62,      2.12,      0.00
        31,   2189342,        51,        64,     65536,         0,      1.11,      0.61,      0.49,      0.00
        32,   2189349,        99,         9,      9216,         0,      0.64,      0.57,      0.07,      0.00
        33,   2189346,        63,        48,     48640,         0,      0.99,      0.60,      0.38,      0.00
        34,   2189231,        47,       179,    182784,         0,      1.80,      0.55,      1.25,      0.00
        35,   2188515,         0,       942,    962048,         0,      7.05,      0.63,      6.41,      0.00
        36,   2189348,        96,        13,     13312,         0,      0.67,      0.58,      0.08,      0.00
        37,   2189353,        96,         8,      8192,         0,      0.66,      0.59,      0.07,      0.00
        38,   2189140,         0,       317,    324096,         0,      2.83,      0.61,      2.22,      0.00
        39,   2189240,        59,       158,    161280,         0,      1.71,      0.59,      1.12,      0.00
        40,   2189139,         1,       317,    322048,         0,      2.83,      0.66,      2.17,      0.00
        41,   2189281,        88,        88,     90112,         0,      1.26,      0.64,      0.61,      0.00
        42,   2189241,         0,       216,    220672,         0,      1.91,      0.58,      1.33,      0.00
        43,   2189300,        58,        99,     99840,         0,      1.31,      0.58,      0.73,      0.00
        44,   2189344,        58,        55,     55808,         0,      0.93,      0.57,      0.36,      0.00
        45,   2189106,         0,       351,    357888,         0,      2.97,      0.63,      2.33,      0.00
        46,   2189288,        55,       114,    116736,         0,      1.39,      0.59,      0.79,      0.00
        47,   2189331,         5,       121,    123392,         0,      1.46,      0.58,      0.88,      0.00
        48,   2188930,         0,       527,    538624,         0,      4.09,      0.66,      3.42,      0.00
        49,   2189356,        79,        22,     22528,         0,      0.77,      0.58,      0.18,      0.00
        50,   2188502,         0,       955,    974848,         0,      6.88,      0.63,      6.24,      0.00
        51,   2188270,         0,      1187,   1213440,         0,      8.44,      0.64,      7.79,      0.00
        52,   2188299,         0,      1158,   1180672,         0,      8.09,      0.57,      7.50,      0.00
        53,   2187309,         0,      2148,   2192384,         0,     14.88,      0.65,     14.22,      0.00
        54,   2188992,         0,       465,    474112,         0,      3.77,      0.60,      3.17,      0.00
        55,   2187039,         0,      2418,   2464256,         0,     16.89,      0.57,     16.31,      0.00
        56,   2188932,        39,       486,    496128,         0,      3.82,      0.62,      3.19,      0.00
        57,   2189328,         9,       120,    122368,         0,      1.40,      0.61,      0.78,      0.00
        58,   2189347,        70,        40,     40960,         0,      0.91,      0.62,      0.29,      0.00
        59,   2189242,        25,       190,    194048,         0,      1.93,      0.58,      1.34,      0.00
        60,   2189342,        89,        26,     26624,         0,      0.76,      0.60,      0.16,      0.00
        61,   2189348,        97,        12,     12288,         0,      0.64,      0.57,      0.07,      0.00
        62,   2189355,        95,         7,      7168,         0,      0.58,      0.52,      0.06,      0.00
