queryID,n_user_candidate,io_cost,ip_cost,total_time,memory_index_time,io_time,ip_time
         0,        10,       900,         0,      0.49,      0.47,      0.01,      0.00
         1,       174,     15486,         0,      0.73,      0.48,      0.25,      0.00
         2,        46,      4094,         0,      0.58,      0.51,      0.07,      0.00
         3,        10,       900,         0,      0.53,      0.51,      0.02,      0.00
         4,        19,      1709,         0,      0.54,      0.51,      0.03,      0.00
         5,        15,      1350,         0,      0.54,      0.51,      0.02,      0.00
         6,        13,      1170,         0,      0.54,      0.51,      0.02,      0.00
         7,        15,      1350,         0,      0.57,      0.54,      0.02,      0.00
         8,       561,     49929,         0,      1.34,      0.53,      0.81,      0.00
         9,     20588,   1832332,         0,     29.33,      0.51,     28.80,      0.00
        10,       165,     14685,         0,      0.73,      0.49,      0.23,      0.00
        11,      5939,    528571,         0,      8.93,      0.52,      8.40,      0.00
        12,        10,       900,         0,      0.54,      0.52,      0.01,      0.00
        13,      2968,    264152,         0,      4.65,      0.48,      4.17,      0.00
        14,       902,     80278,         0,      1.79,      0.51,      1.27,      0.00
        15,        66,      5935,         0,      0.62,      0.52,      0.09,      0.00
        16,        11,       990,         0,      0.55,      0.53,      0.02,      0.00
        17,        90,      8010,         0,      0.64,      0.50,      0.13,      0.00
        18,        10,       900,         0,      0.54,      0.52,      0.01,      0.00
        19,        11,       990,         0,      0.54,      0.52,      0.02,      0.00
        20,        11,       990,         0,      0.56,      0.54,      0.02,      0.00
        21,        46,      4094,         0,      0.61,      0.54,      0.07,      0.00
        22,        13,      1157,         0,      0.56,      0.53,      0.02,      0.00
        23,       136,     12104,         0,      0.70,      0.50,      0.19,      0.00
        24,       371,     33019,         0,      1.03,      0.50,      0.53,      0.00
        25,        15,      1350,         0,      0.54,      0.51,      0.02,      0.00
        26,        10,       900,         0,      0.50,      0.48,      0.01,      0.00
        27,      7732,    688148,         0,     11.29,      0.48,     10.80,      0.00
        28,        10,       900,         0,      0.53,      0.51,      0.02,      0.00
        29,        62,      5518,         0,      0.57,      0.48,      0.09,      0.00
        30,        54,      4855,         0,      0.59,      0.51,      0.08,      0.00
        31,        17,      1529,         0,      0.54,      0.51,      0.03,      0.00
        32,        15,      1350,         0,      0.55,      0.52,      0.02,      0.00
        33,        10,       899,         0,      0.54,      0.52,      0.01,      0.00
        34,        10,       900,         0,      0.52,      0.50,      0.01,      0.00
        35,        44,      3953,         0,      0.58,      0.51,      0.06,      0.00
        36,        34,      3026,         0,      0.57,      0.52,      0.05,      0.00
        37,        50,      4450,         0,      0.61,      0.53,      0.07,      0.00
        38,        14,      1260,         0,      0.55,      0.52,      0.02,      0.00
        39,       552,     49128,         0,      1.32,      0.52,      0.79,      0.00
        40,        64,      5696,         0,      0.62,      0.52,      0.09,      0.00
        41,        10,       900,         0,      0.54,      0.52,      0.01,      0.00
        42,       170,     15130,         0,      0.77,      0.52,      0.24,      0.00
        43,        15,      1350,         0,      0.56,      0.54,      0.02,      0.00
        44,        10,       900,         0,      0.51,      0.49,      0.01,      0.00
        45,        16,      1440,         0,      0.56,      0.53,      0.02,      0.00
        46,        10,        90,   1221624,      0.61,      0.47,      0.00,      0.14
        47,        43,      3870,         0,      0.56,      0.49,      0.06,      0.00
        48,        10,       900,         0,      0.54,      0.52,      0.01,      0.00
        49,        11,       988,         0,      0.53,      0.51,      0.02,      0.00
        50,       174,     15486,         0,      0.77,      0.52,      0.25,      0.00
        51,        11,       990,         0,      0.53,      0.51,      0.02,      0.00
        52,        22,      1980,         0,      0.57,      0.53,      0.03,      0.00
        53,        14,      1260,         0,      0.54,      0.51,      0.02,      0.00
        54,        69,      6208,         0,      0.63,      0.53,      0.10,      0.00
        55,        17,      1530,         0,      0.55,      0.52,      0.03,      0.00
        56,        17,      1530,         0,      0.53,      0.50,      0.02,      0.00
        57,        11,       990,         0,      0.54,      0.52,      0.02,      0.00
        58,        10,       899,         0,      0.55,      0.53,      0.01,      0.00
        59,        15,      1350,         0,      0.56,      0.53,      0.02,      0.00
        60,        15,      1350,         0,      0.55,      0.53,      0.02,      0.00
        61,       216,     19224,         0,      0.80,      0.49,      0.31,      0.00
        62,        14,      1256,         0,      0.56,      0.53,      0.02,      0.00
        63,        30,      2670,         0,      0.58,      0.53,      0.04,      0.00
        64,        12,      1079,         0,      0.54,      0.52,      0.02,      0.00
        65,        11,       989,         0,      0.56,      0.54,      0.02,      0.00
        66,        15,      1348,         0,      0.55,      0.52,      0.02,      0.00
        67,      1661,    147829,         0,      2.85,      0.53,      2.31,      0.00
        68,      1122,     99858,         0,      2.11,      0.52,      1.58,      0.00
        69,        30,      2670,         0,      0.59,      0.54,      0.04,      0.00
        70,        16,      1437,         0,      0.57,      0.54,      0.02,      0.00
        71,        50,      4450,         0,      0.62,      0.54,      0.07,      0.00
        72,        14,      1260,         0,      0.55,      0.52,      0.02,      0.00
        73,        14,      1259,         0,      0.55,      0.52,      0.02,      0.00
        74,       395,     35155,         0,      1.07,      0.50,      0.56,      0.00
        75,        35,      3115,         0,      0.59,      0.54,      0.05,      0.00
        76,        38,      3382,         0,      0.60,      0.53,      0.06,      0.00
        77,       384,     34176,         0,      1.08,      0.53,      0.54,      0.00
        78,        11,       986,         0,      0.56,      0.54,      0.02,      0.00
        79,        58,      5162,         0,      0.62,      0.53,      0.08,      0.00
        80,       864,     76896,         0,      1.73,      0.50,      1.22,      0.00
        81,       527,     46903,         0,      1.30,      0.54,      0.75,      0.00
        82,        32,      2879,         0,      0.55,      0.49,      0.05,      0.00
        83,        11,       989,         0,      0.54,      0.51,      0.02,      0.00
        84,        11,       990,         0,      0.51,      0.49,      0.02,      0.00
        85,        11,       990,         0,      0.53,      0.51,      0.02,      0.00
        86,        13,      1170,         0,      0.54,      0.52,      0.02,      0.00
        87,       403,     35867,         0,      1.09,      0.52,      0.57,      0.00
        88,        10,       900,         0,      0.54,      0.52,      0.01,      0.00
        89,        11,       990,         0,      0.52,      0.50,      0.02,      0.00
        90,       132,     11748,         0,      0.72,      0.52,      0.19,      0.00
        91,        23,      2047,         0,      0.54,      0.50,      0.03,      0.00
        92,        10,       900,         0,      0.53,      0.51,      0.01,      0.00
        93,        10,       900,         0,      0.52,      0.50,      0.01,      0.00
        94,        10,       900,         0,      0.51,      0.49,      0.01,      0.00
        95,      6589,    586421,         0,      9.89,      0.52,      9.35,      0.00
        96,      3582,    318798,         0,      5.60,      0.50,      5.09,      0.00
        97,        72,      6471,         0,      0.59,      0.48,      0.10,      0.00
        98,        76,      6838,         0,      0.62,      0.51,      0.11,      0.00
        99,        11,       990,         0,      0.54,      0.52,      0.02,      0.00
       100,        21,      1890,         0,      0.55,      0.51,      0.03,      0.00
       101,        10,       900,         0,      0.51,      0.49,      0.01,      0.00
       102,        60,      5392,         0,      0.61,      0.51,      0.09,      0.00
       103,        27,      2424,         0,      0.58,      0.54,      0.04,      0.00
       104,        20,      1800,         0,      0.59,      0.55,      0.03,      0.00
       105,        10,       900,         0,      0.47,      0.45,      0.02,      0.00
       106,      3527,    313903,         0,      5.53,      0.54,      4.99,      0.00
       107,        11,       990,         0,      0.52,      0.50,      0.02,      0.00
       108,        11,       990,         0,      0.54,      0.52,      0.02,      0.00
       109,      1132,    100748,         0,      2.12,      0.52,      1.60,      0.00
       110,        14,      1246,         0,      0.56,      0.54,      0.02,      0.00
       111,        23,      2068,         0,      0.55,      0.51,      0.03,      0.00
       112,        95,      8549,         0,      0.66,      0.52,      0.14,      0.00
       113,        28,      2492,         0,      0.56,      0.51,      0.04,      0.00
       114,        10,       900,         0,      0.53,      0.51,      0.01,      0.00
       115,       222,     19758,         0,      0.85,      0.52,      0.32,      0.00
       116,        12,      1080,         0,      0.55,      0.52,      0.02,      0.00
       117,       168,     14952,         0,      0.74,      0.50,      0.24,      0.00
       118,        99,      8811,         0,      0.67,      0.52,      0.14,      0.00
       119,      2774,    246886,         0,      4.41,      0.51,      3.89,      0.00
       120,        10,       900,         0,      0.50,      0.48,      0.01,      0.00
       121,        17,      1528,         0,      0.55,      0.52,      0.02,      0.00
       122,        61,      5429,         0,      0.61,      0.52,      0.09,      0.00
       123,        53,      4762,         0,      0.59,      0.51,      0.08,      0.00
       124,     27959,   2488351,         0,     39.90,      0.47,     39.41,      0.00
       125,        51,      4539,         0,      0.61,      0.53,      0.07,      0.00
       126,        19,      1709,         0,      0.57,      0.54,      0.03,      0.00
       127,        16,      1440,         0,      0.56,      0.53,      0.02,      0.00
       128,       270,     24030,         0,      0.93,      0.54,      0.38,      0.00
       129,        10,       900,         0,      0.54,      0.52,      0.01,      0.00
       130,        15,      1350,         0,      0.56,      0.53,      0.02,      0.00
       131,        11,       990,         0,      0.54,      0.52,      0.02,      0.00
       132,        11,       979,         0,      0.55,      0.53,      0.02,      0.00
       133,        22,      1980,         0,      0.56,      0.52,      0.03,      0.00
       134,       137,     12193,         0,      0.71,      0.51,      0.20,      0.00
       135,        10,       900,         0,      0.52,      0.50,      0.01,      0.00
       136,        10,       450,    678680,      0.54,      0.45,      0.01,      0.08
       137,        25,      2245,         0,      0.57,      0.53,      0.04,      0.00
       138,        13,      1157,         0,      0.56,      0.53,      0.02,      0.00
       139,        10,       899,         0,      0.54,      0.52,      0.01,      0.00
       140,       353,     31417,         0,      1.03,      0.52,      0.51,      0.00
       141,       228,     20292,         0,      0.87,      0.54,      0.32,      0.00
       142,        11,       989,         0,      0.53,      0.51,      0.02,      0.00
       143,       529,     47081,         0,      1.28,      0.52,      0.75,      0.00
       144,        23,      2070,         0,      0.56,      0.52,      0.03,      0.00
       145,        54,      4853,         0,      0.62,      0.54,      0.08,      0.00
       146,       656,     58384,         0,      1.46,      0.53,      0.93,      0.00
       147,       131,     11659,         0,      0.72,      0.53,      0.19,      0.00
       148,        10,       900,         0,      0.52,      0.50,      0.01,      0.00
       149,        18,      1602,         0,      0.57,      0.53,      0.03,      0.00
       150,       262,     23318,         0,      0.88,      0.51,      0.37,      0.00
       151,        10,       899,         0,      0.54,      0.52,      0.01,      0.00
       152,       583,     51887,         0,      1.32,      0.49,      0.82,      0.00
       153,        19,      1710,         0,      0.55,      0.52,      0.03,      0.00
       154,        19,      1706,         0,      0.57,      0.53,      0.03,      0.00
       155,       462,     41118,         0,      1.18,      0.53,      0.65,      0.00
       156,        11,       990,         0,      0.55,      0.53,      0.02,      0.00
       157,        16,      1440,         0,      0.55,      0.52,      0.02,      0.00
       158,        11,       990,         0,      0.55,      0.52,      0.02,      0.00
       159,    135354,  12046506,         0,    191.11,      0.45,    190.60,      0.00
       160,        58,      5162,         0,      0.62,      0.54,      0.08,      0.00
       161,        19,      1709,         0,      0.55,      0.52,      0.03,      0.00
       162,        22,      1980,         0,      0.57,      0.53,      0.03,      0.00
       163,        14,      1260,         0,      0.55,      0.53,      0.02,      0.00
       164,        14,      1246,         0,      0.56,      0.53,      0.02,      0.00
       165,       255,     22695,         0,      0.89,      0.53,      0.36,      0.00
       166,      6538,    581882,         0,      9.72,      0.46,      9.25,      0.00
       167,       161,     14489,         0,      0.76,      0.53,      0.23,      0.00
       168,       245,     22048,         0,      0.83,      0.48,      0.35,      0.00
       169,        19,      1705,         0,      0.58,      0.55,      0.03,      0.00
       170,        10,       900,         0,      0.52,      0.50,      0.01,      0.00
       171,        17,      1513,         0,      0.56,      0.53,      0.02,      0.00
       172,        10,       893,         0,      0.56,      0.54,      0.01,      0.00
       173,       165,     14685,         0,      0.73,      0.49,      0.24,      0.00
       174,        43,      3827,         0,      0.60,      0.53,      0.06,      0.00
       175,       475,     42275,         0,      1.19,      0.50,      0.68,      0.00
       176,        21,      1869,         0,      0.54,      0.50,      0.03,      0.00
       177,        97,      8633,         0,      0.70,      0.55,      0.14,      0.00
       178,        15,      1335,         0,      0.55,      0.53,      0.02,      0.00
       179,        10,       900,         0,      0.49,      0.47,      0.01,      0.00
       180,     33470,   2978830,         0,     47.84,      0.47,     47.35,      0.00
       181,       759,     67551,         0,      1.60,      0.52,      1.07,      0.00
       182,        77,      6853,         0,      0.61,      0.49,      0.11,      0.00
       183,        13,      1170,         0,      0.54,      0.52,      0.02,      0.00
       184,        12,      1080,         0,      0.52,      0.49,      0.02,      0.00
       185,        43,      3861,         0,      0.57,      0.51,      0.06,      0.00
       186,        14,      1260,         0,      0.56,      0.53,      0.02,      0.00
       187,        10,       900,         0,      0.53,      0.51,      0.02,      0.00
       188,        10,         0,   1357360,      0.62,      0.46,      0.00,      0.16
       189,       130,     11570,         0,      0.70,      0.51,      0.18,      0.00
       190,        24,      2156,         0,      0.57,      0.53,      0.04,      0.00
       191,      2021,    179869,         0,      3.38,      0.52,      2.86,      0.00
       192,     16494,   1467966,         0,     23.78,      0.49,     23.27,      0.00
       193,      4454,    396406,         0,      6.81,      0.49,      6.32,      0.00
       194,       255,     22695,         0,      0.91,      0.54,      0.36,      0.00
       195,       692,     61588,         0,      1.51,      0.52,      0.99,      0.00
       196,       190,     16910,         0,      0.81,      0.53,      0.27,      0.00
       197,        12,      1078,         0,      0.55,      0.52,      0.02,      0.00
       198,       248,     22072,         0,      0.87,      0.51,      0.35,      0.00
       199,        45,      4005,         0,      0.57,      0.50,      0.06,      0.00
       200,        14,      1260,         0,      0.53,      0.50,      0.02,      0.00
       201,        23,      2068,         0,      0.53,      0.49,      0.03,      0.00
       202,     35896,   3194744,         0,     51.06,      0.49,     50.55,      0.00
       203,       342,     30438,         0,      0.98,      0.49,      0.48,      0.00
       204,        10,       900,         0,      0.52,      0.50,      0.01,      0.00
       205,      2286,    203454,         0,      3.77,      0.51,      3.26,      0.00
       206,        93,      8370,         0,      0.64,      0.51,      0.13,      0.00
       207,        37,      3293,         0,      0.59,      0.53,      0.05,      0.00
       208,        16,      1436,         0,      0.56,      0.53,      0.02,      0.00
       209,      3262,    290318,         0,      5.13,      0.54,      4.58,      0.00
       210,        10,       900,         0,      0.54,      0.52,      0.01,      0.00
       211,        22,      1979,         0,      0.57,      0.53,      0.03,      0.00
       212,        13,      1170,         0,      0.54,      0.51,      0.02,      0.00
       213,        10,       900,         0,      0.52,      0.50,      0.01,      0.00
       214,        10,       900,         0,      0.53,      0.51,      0.01,      0.00
       215,        91,      8183,         0,      0.62,      0.48,      0.13,      0.00
       216,        10,       900,         0,      0.52,      0.50,      0.02,      0.00
       217,      7998,    711822,         0,     11.83,      0.50,     11.32,      0.00
       218,        14,      1260,         0,      0.50,      0.48,      0.02,      0.00
       219,        54,      4806,         0,      0.60,      0.51,      0.08,      0.00
       220,        30,      2693,         0,      0.59,      0.54,      0.04,      0.00
       221,        14,      1253,         0,      0.53,      0.50,      0.02,      0.00
       222,        15,      1350,         0,      0.55,      0.52,      0.02,      0.00
       223,        11,       990,         0,      0.54,      0.52,      0.02,      0.00
       224,        10,       900,         0,      0.54,      0.51,      0.02,      0.00
       225,        17,      1530,         0,      0.56,      0.53,      0.02,      0.00
       226,        13,      1168,         0,      0.56,      0.54,      0.02,      0.00
