queryID,n_user_candidate,io_cost,ip_cost,total_time,memory_index_time,io_time,ip_time
         0,        11,      1155,         0,      0.59,      0.56,      0.02,      0.00
         1,        37,      3885,         0,      0.64,      0.58,      0.05,      0.00
         2,        17,      1801,         0,      0.58,      0.55,      0.02,      0.00
         3,        10,      1057,         0,      0.60,      0.58,      0.01,      0.00
         4,       116,     12180,         0,      0.76,      0.59,      0.16,      0.00
         5,        27,      2835,         0,      0.62,      0.57,      0.04,      0.00
         6,       105,     11025,         0,      0.76,      0.60,      0.15,      0.00
         7,        10,      1056,         0,      0.60,      0.58,      0.01,      0.00
         8,        20,      2114,         0,      0.61,      0.57,      0.03,      0.00
         9,        13,      1365,         0,      0.62,      0.60,      0.02,      0.00
        10,        18,      1890,         0,      0.61,      0.58,      0.03,      0.00
        11,        16,      1694,         0,      0.60,      0.57,      0.02,      0.00
        12,        10,      1057,         0,      0.57,      0.54,      0.01,      0.00
        13,        14,      1484,         0,      0.60,      0.58,      0.02,      0.00
        14,        13,      1365,         0,      0.63,      0.61,      0.02,      0.00
        15,        10,      1050,         0,      0.58,      0.56,      0.01,      0.00
        16,        10,         0,   1595850,      0.65,      0.46,      0.00,      0.18
        17,       348,     36540,         0,      1.08,      0.59,      0.49,      0.00
        18,        10,      1060,         0,      0.58,      0.55,      0.01,      0.00
        19,       330,     34650,         0,      1.08,      0.59,      0.48,      0.00
        20,        10,         0,   1595850,      0.65,      0.46,      0.00,      0.18
        21,        10,      1059,         0,      0.54,      0.52,      0.02,      0.00
        22,       842,     88410,         0,      1.76,      0.56,      1.19,      0.00
        23,        20,      2116,         0,      0.60,      0.56,      0.03,      0.00
        24,        10,       212,   1276680,      0.69,      0.53,      0.00,      0.15
        25,        10,      1059,         0,      0.59,      0.57,      0.01,      0.00
        26,        15,      1590,         0,      0.62,      0.59,      0.02,      0.00
        27,        10,      1060,         0,      0.53,      0.51,      0.02,      0.00
        28,        11,      1166,         0,      0.59,      0.57,      0.02,      0.00
        29,        22,      2323,         0,      0.62,      0.58,      0.03,      0.00
        30,        11,      1164,         0,      0.61,      0.59,      0.02,      0.00
        31,        14,      1482,         0,      0.60,      0.57,      0.02,      0.00
        32,        10,         0,   1595850,      0.71,      0.52,      0.00,      0.18
        33,        10,      1060,         0,      0.60,      0.57,      0.01,      0.00
        34,        10,      1060,         0,      0.53,      0.51,      0.02,      0.00
        35,       128,     13440,         0,      0.78,      0.59,      0.18,      0.00
        36,        11,      1165,         0,      0.56,      0.54,      0.02,      0.00
        37,        10,       212,   1276680,      0.65,      0.49,      0.00,      0.15
        38,        33,      3465,         0,      0.64,      0.58,      0.05,      0.00
        39,        15,      1583,         0,      0.58,      0.55,      0.02,      0.00
        40,        13,      1378,         0,      0.64,      0.61,      0.02,      0.00
        41,        10,      1059,         0,      0.59,      0.57,      0.01,      0.00
        42,        11,      1165,         0,      0.56,      0.54,      0.02,      0.00
        43,        18,      1899,         0,      0.59,      0.55,      0.03,      0.00
        44,        12,      1272,         0,      0.56,      0.54,      0.02,      0.00
        45,        22,      2310,         0,      0.64,      0.60,      0.03,      0.00
        46,        10,      1060,         0,      0.59,      0.57,      0.01,      0.00
        47,        16,      1696,         0,      0.58,      0.55,      0.02,      0.00
        48,        47,      4978,         0,      0.66,      0.59,      0.07,      0.00
